#{"t_start": 1785395450.3813584, "env_id": "None"}
r,l,t
3.54163,2,598.801445
-22.609654,60,601.158754
0.100985,2,602.454223
8.707973,1,603.645921
-16.836236,60,606.184272
6.232921,5,607.499948
-4.122761,27,609.22325
-6.840818,38,611.333848
-9.989382,60,613.772641
5.530139,1,614.988639
3.973473,12,616.423251
6.118514,2,617.624739
2.728189,22,619.223872
2.216099,10,620.580919
5.776264,2,621.678362
3.161235,9,622.983358
-12.41891,60,625.402262
7.186662,11,626.815354
4.076945,3,628.034945
7.658323,5,629.366848
-17.450201,60,631.911534
-19.304862,60,634.357736
1.3933,16,635.897377
-7.19497,57,638.204153
6.850678,10,639.583725
7.011564,9,640.981032
2.172366,4,642.34643
-0.029271,3,643.578103
-15.412433,60,645.934927
-17.464533,60,648.486161
