time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
14336,68,-6.12718075,60.0,28,209,270,0.004995244272868149,-2.3429315358400347,0.1021484375,0.2,0.0003,0.012471612,-0.011637240153504536,-0.24988509714603424,0.906137503683567
14848,68,-6.1271748100000005,60.0,29,217,280,0.0010548859914706553,-2.343051791191101,0.1916015625,0.2,0.0003,0.016238313,-0.027890566241694614,-0.24623622000217438,0.9700724240392447
15360,68,-6.166655009999999,60.0,30,225,290,0.034340316688758324,-2.3461737990379334,0.143359375,0.2,0.0003,0.012383493,-0.016065197490388528,-0.25106003880500793,0.6995179653167725
15872,68,-6.145804019999999,60.0,31,233,300,0.061675561731681226,-2.355737015604973,0.184765625,0.2,0.0003,0.015553509,-0.020323976897634564,-0.22743818163871765,0.5376244485378265
16384,68,-6.124508049999999,60.0,32,240,310,0.04072275784856174,-2.3499132484197616,0.1197265625,0.2,0.0003,0.0119454805,-0.016007811698364093,-0.23284989595413208,0.6768005788326263
16896,68,-6.146008829999999,60.0,33,247,320,0.0021907320042373613,-2.354007217288017,0.1412109375,0.2,0.0003,0.012522944,-0.019630611565662547,-0.20961877703666687,0.9581775180995464
17408,68,-6.144380929999999,60.0,34,255,330,0.04257037857314572,-2.3524421870708467,0.11875,0.2,0.0003,0.01506063,-0.016543370863655583,-0.2586545944213867,0.5777430534362793
17920,68,-6.14133594,60.0,35,262,340,0.0564222607848933,-2.3605448633432387,0.123046875,0.2,0.0003,0.012170252,-0.014680468832375481,-0.24767039716243744,0.4518085718154907
18432,68,-6.1609981000000005,60.0,36,269,350,0.05926383724436164,-2.351371464133263,0.1263671875,0.2,0.0003,0.013533626,-0.01532922675833106,-0.24517594277858734,0.5942668318748474
18944,68,-6.160961480000001,60.0,37,277,360,0.0035485566884744914,-2.335048478841782,0.1158203125,0.2,0.0003,0.012627798,-0.017981505184434355,-0.26202505826950073,0.9394471235573292
19456,68,-6.121134840000001,60.0,38,286,370,0.0016213273171160835,-2.2967496126890183,0.1123046875,0.2,0.0003,0.01197765,-0.017586556682363152,-0.26220306754112244,0.9685383960604668
19968,68,-6.1420306600000005,60.0,39,293,380,0.001189304719446227,-2.2929081588983538,0.076953125,0.2,0.0003,0.010413348,-0.011062530922936275,-0.2813400328159332,0.9719591476023197
20480,68,-6.1417049100000005,60.0,40,300,390,0.03939454460487468,-2.296025997400284,0.0857421875,0.2,0.0003,0.010999499,-0.008604836830636486,-0.20241528749465942,0.6716945767402649
20992,68,-6.1233509900000005,60.0,41,308,400,0.003555496524495538,-2.3032369017601013,0.0873046875,0.2,0.0003,0.00936588,-0.010757741576526314,-0.2411273717880249,0.9322493523359299
21504,68,-6.102008560000001,60.0,42,315,410,0.002352199042070424,-2.285007059574127,0.1353515625,0.2,0.0003,0.010881449,-0.01895816100295633,-0.2551238238811493,0.9474405944347382
22016,68,-6.080483839999999,60.0,43,322,420,0.0009790067779249512,-2.281993570923805,0.1005859375,0.2,0.0003,0.012165153,-0.01591982104582712,-0.2699567675590515,0.9807037394493818
22528,68,-6.098525939999999,60.0,44,330,430,0.008459353388025193,-2.2753540545701982,0.111328125,0.2,0.0003,0.014361283,-0.017593547195428983,-0.23377756774425507,0.8818384259939194
23040,68,-6.075342100000001,60.0,45,338,440,0.0008573533101298381,-2.2475722551345827,0.064453125,0.2,0.0003,0.009896134,-0.014728625721181743,-0.2549484968185425,0.9823864698410034
