rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
60.0,13824,27,227,-6.833530770000001,60,-0.007814615033566952,-0.01458834883524105,0.0003,0.8266546428203583,0.0908203125,0.2,0.03328183696139604,-1.595811939239502,0.011031209,260
60.0,14336,28,236,-6.824152839999999,60,-0.0178544782102108,-0.01774869578657672,0.0003,0.7532962560653687,0.103125,0.2,0.03407200009096414,-1.6369451716542245,0.009278519,270
60.0,14848,29,244,-6.80969851,60,-0.03883805871009827,-0.019590639614034445,0.0003,0.8900894969701767,0.130859375,0.2,0.01673903192859143,-1.6425914958119392,0.010379938,280
59.8,15360,30,256,-6.690136550000001,59,-0.017774008214473724,-0.015579515148419886,0.0003,0.8784955069422722,0.1134765625,0.2,0.01702160482527688,-1.6486593306064605,0.008079348,290
59.8,15872,31,264,-6.658399340000001,59,1.2861639261245728,-0.00945198575500399,0.0003,0.08976227045059204,0.01875,0.2,1.6713129913434386,-1.662022154033184,0.00486015,300
59.8,16384,32,273,-6.618273949999999,59,0.008628662675619125,-0.012303420039825142,0.0003,0.2186063528060913,0.038671875,0.2,0.12678917539305984,-1.7319567158818245,0.008202275,310
59.8,16896,33,284,-6.64876392,59,-0.01682824082672596,-0.011685438302811236,0.0003,0.607666552066803,0.0666015625,0.2,0.02157154822489247,-1.7354259639978409,0.008983786,320
59.8,17408,34,293,-6.6891348,59,-0.03403817117214203,-0.01961798359407112,0.0003,0.21600407361984253,0.145703125,0.2,0.05287698393221944,-1.7385164603590966,0.012622824,330
59.8,17920,35,303,-6.6904471999999995,59,-0.0009195124730467796,-0.011008925805799662,0.0003,0.5911001861095428,0.0646484375,0.2,0.034923399635590616,-1.7235822349786758,0.011509704,340
59.8,18432,36,311,-6.67898065,59,-0.003758475184440613,-0.019929216464515776,0.0003,0.42180848121643066,0.10234375,0.2,0.1281140552368015,-1.7041081249713899,0.0099665485,350
59.8,18944,37,320,-6.63156828,59,-0.00651903823018074,-0.017685024347156287,0.0003,0.7117962539196014,0.1119140625,0.2,0.04073122215922922,-1.6671135172247886,0.009990228,360
59.8,19456,38,329,-6.5990717199999995,58,-0.012658760882914066,-0.01935216594720259,0.0003,0.8166154772043228,0.1373046875,0.2,0.028090359002817422,-1.6133633702993393,0.010925412,370
59.8,19968,39,338,-6.57209873,58,-0.018793951719999313,-0.016455147799570115,0.0003,0.8713254332542419,0.085546875,0.2,0.020978630986064672,-1.555645141005516,0.0095080035,380
59.8,20480,40,347,-6.589436409999999,58,0.005815685726702213,-0.013986945652868598,0.0003,0.6792618334293365,0.105859375,0.2,0.056358588463626805,-1.5480477437376976,0.011642987,390
