rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range
5.15,2,5.43483896,6986,36,18432,350,0.0003,24.14744176864624,0.576569527387619,-2.1134881377220154,-0.016839289583731442,0.0108538065,0.073046875,16.246654510498047,0.2
4.3,2,6.24195828,7099,37,18944,360,0.0003,40.38754246234894,0.4169454574584961,-2.1788828700780867,-0.012949285004287958,0.010414444,0.0765625,12.912702560424805,0.2
4.59,2,5.79294913,7213,38,19456,370,0.0003,31.286362957954406,0.49976664781570435,-2.1934717386960982,-0.006187892874004319,0.0039840667,0.016796875,20.281042098999023,0.2
5.01,2,5.25825,7308,39,19968,380,0.0003,29.064271700382232,0.5544101595878601,-2.156344124674797,-0.01480337253306061,0.009564837,0.0619140625,16.28780746459961,0.2
7.31,2,3.75638959,7390,40,20480,390,0.0003,37.9472475528717,0.5092093050479889,-2.2787025570869446,-0.014415702078258619,0.006931073,0.0888671875,14.441981315612793,0.2
4.64,2,5.79747523,7491,41,20992,400,0.0003,37.81737756729126,0.3325420618057251,-2.267971822619438,-0.00978138693026267,0.0076795937,0.0181640625,16.019550323486328,0.2
3.83,2,6.57418456,7616,42,21504,410,0.0003,31.0923050403595,0.4961150288581848,-2.1727835446596147,-0.017563998082187025,0.008733777,0.051953125,13.109394073486328,0.2
2.3,2,7.191899870000001,7758,43,22016,420,0.0003,19.210973060131074,0.5485116243362427,-2.11936576962471,-0.021094487549271436,0.012359712,0.1015625,5.926658630371094,0.2
3.29,2,6.696016150000002,7884,44,22528,430,0.0003,21.93678708076477,0.5172490179538727,-1.9248343765735627,-0.01612367300549522,0.012899371,0.0787109375,12.747722625732422,0.2
2.98,2,6.648431579999999,7999,45,23040,440,0.0003,27.699364817142488,0.5776349902153015,-2.0892023608088492,-0.014393287227721884,0.00980273,0.0748046875,10.473941802978516,0.2
3.25,2,6.4560831599999995,8118,46,23552,450,0.0003,42.55759987831116,0.30580729246139526,-2.074197310209274,-0.007383388676680624,0.006744463,0.0208984375,19.218063354492188,0.2
4.0,2,5.386835659999999,8251,47,24064,460,0.0003,25.66015682220459,0.5243876278400421,-2.0667636945843695,-0.01639776023803279,0.009533668,0.062109375,12.863546371459961,0.2
6.02,2,4.82242191,8330,48,24576,470,0.0003,49.27540481090546,0.4169372320175171,-2.099508759379387,-0.016452679067151622,0.007973054,0.104296875,20.630929946899414,0.2
2.4,2,6.78842755,8487,49,25088,480,0.0003,25.57595775127411,0.5323731601238251,-2.2418791860342027,-0.009252319461666048,0.006600544,0.0310546875,9.536049842834473,0.2
1.98,2,7.15300719,8668,50,25600,490,0.0003,28.721661245822908,0.2798532247543335,-1.9805356711149216,-0.010443664231570438,0.006972216,0.0314453125,8.90897274017334,0.2
4.32,2,5.047885839999999,8788,51,26112,500,0.0003,11.220663076639175,0.5997941195964813,-1.8151547208428382,-0.016202174284262582,0.007070408,0.0982421875,6.3803791999816895,0.2
2.15,2,6.759263739999999,8948,52,26624,510,0.0003,49.686428332328795,0.4135211706161499,-1.9172380536794662,-0.01256673752795905,0.0069644963,0.0265625,25.229198455810547,0.2
2.6,2,5.991509050000001,9070,53,27136,520,0.0003,25.98845076560974,0.5638145804405212,-1.9536289423704147,-0.004433278751093894,0.005284079,0.0208984375,13.844675064086914,0.2
5.3,3,4.58127792,9165,54,27648,530,0.0003,38.408076429367064,0.45100855827331543,-1.9699674904346467,-0.012805026932619512,0.007605179,0.027734375,8.493345260620117,0.2
3.56,3,6.430743030000002,9288,55,28160,540,0.0003,33.676936864852905,0.4364131689071655,-2.1769579261541367,-0.01100281669641845,0.008563995,0.0646484375,17.345638275146484,0.2
1.97,3,7.213004310000001,9409,56,28672,550,0.0003,47.612477493286136,0.34677696228027344,-1.9476335749030114,-0.010658040692214854,0.004536637,0.01015625,21.705427169799805,0.2
2.28,3,7.211259610000001,9538,57,29184,560,0.0003,41.52483048439026,0.4899982810020447,-1.926500628888607,-0.0056649237405508755,0.004314831,0.0310546875,19.264123916625977,0.2
3.57,3,5.855556919999999,9655,58,29696,570,0.0003,24.343462228775024,0.3422531485557556,-1.8965549811720848,-0.0113815288990736,0.007380098,0.0421875,6.683900833129883,0.2
3.49,3,6.07312858,9773,59,30208,580,0.0003,23.007388973236083,0.5197896659374237,-2.0323906883597376,-0.014007086501806043,0.011705967,0.0884765625,6.451038837432861,0.2
4.14,3,5.991930800000001,9898,60,30720,590,0.0003,24.474944376945494,0.5761633217334747,-2.1120807021856307,-0.01020571615663357,0.008914489,0.08046875,13.470283508300781,0.2
3.98,3,5.414183099999999,10017,61,31232,600,0.0003,19.516989994049073,0.5536990165710449,-2.003497967123985,-0.016629459022078664,0.010862829,0.078515625,7.407656669616699,0.2
2.87,3,6.808961590000001,10142,62,31744,610,0.0003,49.275977754592894,0.28349971771240234,-2.076463407278061,-0.01747544065583497,0.012146875,0.094921875,19.442493438720703,0.2
3.37,3,6.355172680000001,10267,63,32256,620,0.0003,28.35626393556595,0.3649762272834778,-2.048977832496166,-0.010262104705907405,0.010560477,0.0359375,17.566234588623047,0.2
4.45,3,5.7185200300000005,10379,64,32768,630,0.0003,17.61752960085869,0.6095629632472992,-2.0553437277674673,-0.011621757558896207,0.009052724,0.0611328125,6.82962703704834,0.2
2.9,3,6.58900721,10524,65,33280,640,0.0003,21.28239240646362,0.5684029459953308,-2.1214020401239395,-0.02243152234586887,0.013211895,0.1234375,9.745255470275879,0.2
3.23,3,6.5870852699999975,10677,66,33792,650,0.0003,24.092632722854614,0.43484872579574585,-1.9782653868198394,-0.021697266108822076,0.009036791,0.0771484375,7.413466930389404,0.2
3.3,3,6.264790040000001,10816,67,34304,660,0.0003,13.092236387729645,0.6298612356185913,-1.95683301538229,-0.027900943299755454,0.012348913,0.14765625,7.493525505065918,0.2
3.7,3,6.06382436,10953,68,34816,670,0.0003,20.879326510429383,0.5132038593292236,-1.9656070962548255,-0.016937052842695265,0.0072202343,0.045703125,6.639970302581787,0.2
4.2,3,5.796559520000001,11078,69,35328,680,0.0003,19.555201286077498,0.517998993396759,-1.9645672038197517,-0.021396419731900096,0.010024969,0.0837890625,14.225213050842285,0.2
2.91,3,5.920275109999999,11239,70,35840,690,0.0003,20.195782619714738,0.5043223202228546,-2.014853498339653,-0.015173546154983342,0.009448639,0.03828125,7.624593734741211,0.2
2.7,3,6.361793850000001,11415,71,36352,700,0.0003,17.426910614967348,0.4463861584663391,-1.9056214824318887,-0.017539253312861547,0.009848915,0.087890625,6.97567081451416,0.2
4.79,3,5.516480839999999,11497,72,36864,710,0.0003,14.278264033794404,0.5652555525302887,-1.6803502842783928,-0.026205458404729143,0.008691508,0.1076171875,6.522576808929443,0.2
3.36,3,6.61621262,11607,73,37376,720,0.0003,45.96846425533295,0.15157103538513184,-2.0443969815969467,-0.016899498493876307,0.0155914705,0.170703125,21.99989128112793,0.2
3.83,3,5.973650129999999,11706,74,37888,730,0.0003,24.52568002939224,0.41200584173202515,-1.911275151371956,-0.01276999490801245,0.009474967,0.047265625,8.922662734985352,0.2
5.17,3,5.40268842,11800,75,38400,740,0.0003,25.01462984085083,0.44954413175582886,-2.0716768592596053,-0.013128683622926473,0.0067331847,0.045703125,11.680654525756836,0.2
2.85,3,6.740299579999999,11933,76,38912,750,0.0003,14.42387523651123,0.587874710559845,-1.9882406920194626,-0.027966502762865275,0.014100641,0.1560546875,6.3746256828308105,0.2
2.85,3,6.639714490000001,12075,77,39424,760,0.0003,24.05235835313797,0.46995383501052856,-1.787782822549343,-0.017576828313758598,0.012117429,0.111328125,17.92081642150879,0.2
2.14,3,7.0846639499999995,12211,78,39936,770,0.0003,20.97017251253128,0.510828822851181,-1.727625122666359,-0.014067935824277811,0.007590909,0.0568359375,10.42745304107666,0.2
1.49,3,7.297140110000002,12363,79,40448,780,0.0003,13.205226650834083,0.6613134443759918,-1.8700562611222267,-0.011844966385979205,0.004747145,0.0501953125,4.3899407386779785,0.2
2.66,3,6.287995460000002,12507,80,40960,790,0.0003,21.30528697371483,0.5780348777770996,-1.6108495995402337,-0.01144991788896732,0.0060881795,0.0455078125,7.623774528503418,0.2
2.59,2,6.57383539,15090,81,41472,800,0.0003,37.063588964939115,0.39768701791763306,-1.8598549589514732,-0.009596286847954615,0.011583819,0.098828125,18.143465042114258,0.2
2.97,2,6.643266940000001,15304,82,41984,810,0.0003,15.901084488630294,0.5793741345405579,-1.8432804957032203,-0.023904946085531266,0.011674283,0.0923828125,7.930447578430176,0.2
4.08,2,5.87718918,15427,83,42496,820,0.0003,17.3089080452919,0.5055392682552338,-1.820416621863842,-0.010966837967862375,0.010135377,0.0537109375,5.602274417877197,0.2
4.55,2,6.01097789,15533,84,43008,830,0.0003,18.345539700984954,0.5123117864131927,-1.9540346652269363,-0.014169869746547192,0.010954495,0.0744140625,9.940799713134766,0.2
2.29,2,6.88849164,15683,85,43520,840,0.0003,23.01352604627609,0.5211809873580933,-2.0710877031087875,-0.015774179785512387,0.010518125,0.0787109375,7.754768371582031,0.2
2.94,2,6.4437774999999995,15820,86,44032,850,0.0003,10.129119658470154,0.6629269123077393,-1.808106902241707,-0.02503353346255608,0.01267084,0.1494140625,4.673307418823242,0.2
2.38,2,7.204451840000001,15979,87,44544,860,0.0003,22.71455101966858,0.3846423029899597,-1.9324635058641433,-0.014157293466269039,0.007882895,0.0552734375,9.304296493530273,0.2
3.35,2,6.42350399,16132,88,45056,870,0.0003,10.453275266289712,0.3374555706977844,-1.6724843353033065,-0.02022327735903673,0.0062930626,0.0958984375,3.4529242515563965,0.2
1.94,2,6.95218962,16339,89,45568,880,0.0003,18.2614903986454,0.4952760934829712,-1.8434666842222214,-0.015178151987493038,0.011150911,0.076171875,5.119141578674316,0.2
3.49,2,6.61811571,16488,90,46080,890,0.0003,22.32979222536087,0.3772044777870178,-1.7013121038675307,-0.009876116865780205,0.011824474,0.1134765625,8.456855773925781,0.2
3.33,2,6.53519809,16643,91,46592,900,0.0003,14.77237727046013,0.5749658048152924,-1.853338399529457,-0.015067635499872268,0.0076491535,0.0501953125,4.320926189422607,0.2
3.47,2,6.360782449999999,16780,92,47104,910,0.0003,22.62228022813797,0.4888763427734375,-1.8807966336607933,-0.012447976472321898,0.01069572,0.0779296875,14.452588081359863,0.2
3.56,2,6.38434747,16921,93,47616,920,0.0003,17.11733841896057,0.5635192394256592,-1.956741377711296,-0.01086751525872387,0.0061221067,0.0330078125,8.126821517944336,0.2
3.45,2,6.361035829999999,17078,94,48128,930,0.0003,18.213550359010696,0.5168100893497467,-1.879134465754032,-0.019070415827445685,0.011288125,0.0736328125,3.6276814937591553,0.2
2.35,2,6.727381340000001,17236,95,48640,940,0.0003,12.524840980768204,0.627708911895752,-1.8984590291976928,-0.010470205219462514,0.00651755,0.03203125,6.517527103424072,0.2
3.46,2,6.319014010000001,17404,96,49152,950,0.0003,14.449489349126816,0.6570006608963013,-1.732868030667305,-0.022497947537340225,0.008826783,0.08359375,7.379145622253418,0.2
3.65,2,6.517507510000001,17549,97,49664,960,0.0003,30.58873692750931,0.3835732340812683,-1.9590962067246438,-0.005663570872275159,0.0074347532,0.0689453125,13.622245788574219,0.2
3.91,2,6.395891719999998,17688,98,50176,970,0.0003,22.91546813249588,0.49094945192337036,-1.879551112651825,-0.019813830929342656,0.0047475207,0.0486328125,4.26614236831665,0.2
2.5,2,6.72013691,17831,99,50688,980,0.0003,25.292256343364716,0.44266945123672485,-1.9461831718683242,-0.017536356468917803,0.00898494,0.0841796875,14.128121376037598,0.2
3.1,2,5.933461829999999,17965,100,51200,990,0.0003,8.990989556908607,0.7393061220645905,-1.818738517165184,-0.02369215457001701,0.01919929,0.1294921875,4.949607849121094,0.2
3.92,2,5.46488402,18101,101,51712,1000,0.0003,24.0201486825943,0.4531440734863281,-1.8746092438697814,-0.0038463749748189,0.0065271603,0.0890625,13.213606834411621,0.2
3.57,2,6.32635717,18236,102,52224,1010,0.0003,17.05839078426361,0.517559289932251,-1.938173796236515,-0.008052859935560264,0.0051196874,0.0369140625,5.167691707611084,0.2
3.98,2,6.17479761,18378,103,52736,1020,0.0003,11.506569480895996,0.6918780505657196,-1.9598555117845535,-0.016581071127438916,0.013128343,0.07890625,3.9563074111938477,0.2
5.48,2,5.78854061,18491,104,53248,1030,0.0003,27.255650222301483,0.3844250440597534,-1.9206244051456451,-0.011303954583127052,0.0075790775,0.0322265625,14.870838165283203,0.2
