r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
9.893518,1,19773.644809,True,True,0.0013900516898501,0.031771646059973,57935
9.445152,1,19773.646796,True,True,0.0042164709036369,0.8457266099921352,57936
6.437854,1,19773.6468,True,True,0.0046080682127358,6.276287620611304,57937
7.861225,1,19775.062222,True,True,0.0022406812155111,3.7033631603466137,57938
8.726195,2,19776.314441,True,True,0.0001824938649243,2.9683392962971697,57940
2.015201,2,19777.576201,True,True,0.005739491444291,13.51019456703072,57942
7.719072,1,19777.578714,True,True,0.0024768996480634,3.960724021327216,57943
9.157306,1,19778.878789,True,True,0.0047797753233008,1.3664135780908075,57944
7.008723,1,19778.883427,True,True,0.0087123430484479,5.249732116868957,57945
7.710217,1,19780.266286,True,True,3.087316166605625e-11,3.974473748891756,57946
9.601937,1,19780.272304,True,True,0.0046808553459119,0.5624783351642353,57947
9.908333,1,19781.577235,True,True,2.1928002928533243e-11,0.002562617777423,57948
-6.193642,9,19782.9434,True,True,0.0067769998757674,17.310830709268135,57957
6.630037,3,19782.949426,True,True,8.016495217194348e-05,5.618567975269056,57960
7.562906,1,19784.344394,True,True,2.2781544012362428e-11,4.239804867709654,57961
-1.620741,6,19785.51609,True,True,3.033407732166548e-05,17.46943643581521,57967
5.228716,1,19786.742011,True,True,0.0001982517554401,8.4544588624205,57968
4.559436,2,19786.743017,True,True,0.0058309374760987,7.392912597322781,57970
9.646656,1,19788.178477,True,True,0.0002005163920208,0.4762667973738336,57971
9.079893,1,19788.185962,True,True,7.268111806846278e-11,1.4998921763808852,57972
8.283363,1,19789.625968,True,True,4.48860722619248e-05,2.9393178352174294,57973
7.266827,2,19790.855266,True,True,0.0020554535256546,4.029017707766588,57975
7.562599,1,19792.249294,True,True,1.820935816857837e-10,4.241065502361224,57976
6.045508,3,19793.442481,True,True,0.0001105239698969,6.704472932617209,57979
9.718979,1,19793.450571,True,True,0.0022845073984688,0.3484345329827864,57980
3.36249,1,19794.875043,True,True,0.0006530799020721,11.821792872348016,57981
7.921431,3,19796.366849,True,True,0.0043847838055835,2.634419588417131,57984
7.306608,2,19796.37185,True,True,1.822346540733164e-11,4.818275493612046,57986
8.860134,1,19797.687647,True,True,0.0031597011043775,1.9010252364039195,57987
8.197426,1,19798.875419,True,True,0.0035827748881692,3.0986672274562257,57988
8.842928,3,19800.17413,True,True,0.0014143986968143,1.4250102563306182,57991
8.835761,3,19801.415657,True,True,1.3269888660127904e-12,2.9999890815966106,57994
2.148332,3,19802.668218,True,True,0.0051088667883429,12.469929108363246,57997
6.622905,1,19802.6782,True,True,0.0004054252660252,5.938214306490313,57998
6.135989,1,19803.990491,True,True,0.0046054513995486,6.819038238319293,57999
7.56187,1,19805.16485,True,True,4.405412753344384e-10,4.242382140769156,58000
8.631025,3,19806.430701,True,True,0.0002760859785889,1.4173954376830054,58003
1.264285,1,19807.74402,True,True,0.000191286775975,15.605354430501745,58004
7.817547,3,19808.953198,True,True,0.0004505511575326,3.4770196174557872,58007
3.909568,1,19808.954204,True,True,0.0030622917290833,10.836725151157838,58008
7.938831,1,19810.348115,True,True,0.0053557585222398,3.563336116922698,58009
8.245834,1,19810.360091,True,True,2.243892571751616e-11,3.0002359781145773,58010
-14.184467,60,19811.819386,False,True,0.0064867890922184,18.14415184373454,58070
7.642572,1,19813.087828,True,True,0.0037462065279514,4.100358845895359,58071
