time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction
364,40,14848,116,9.891018e-05,0.06496357917785645,-0.17102075293660163,178.74698795180723,-21.711420024096387,1150,0.2,-4.7213281504809856e-05,0.0003,0.9821681268513203,0.13888432178646326,0.0
367,40,14976,117,0.00017062761,0.005056858994066715,-0.13903563767671584,178.74698795180723,-21.711420024096387,1160,0.2,-8.865362033247948e-05,0.0003,0.9790598656982183,0.09756165123544633,0.0
370,40,15104,118,8.3216466e-05,0.04168391600251198,-0.14990869536995888,178.76190476190476,-21.71746244047619,1170,0.2,-0.00027669847477227447,0.0003,0.9197494685649872,0.23981660678982736,0.0
373,40,15232,119,0.0003326889,0.0030964482575654984,-0.1420909583568573,178.7764705882353,-21.708706882352942,1180,0.2,-0.0006299952161498368,0.0003,0.9905122062191367,0.06809254761319608,0.0015625
376,40,15360,120,0.00054886565,0.08935236930847168,-0.1418491430580616,178.7764705882353,-21.708706882352942,1190,0.2,-0.0008729296736419201,0.0003,0.977788807824254,0.11299976017326116,0.00390625
379,40,15488,121,0.00084913056,0.06713967770338058,-0.16098484322428702,178.7906976744186,-21.707858569767442,1200,0.2,-0.0011255798861384391,0.0003,0.9568702317774296,0.19986575078219176,0.00625
383,40,15616,122,0.0002743299,0.06828275322914124,-0.2172919049859047,178.80459770114942,-21.703727379310347,1210,0.2,-0.0008509702514857054,0.0003,0.9662253633141518,0.10989065561443567,0.0015625
386,40,15744,123,0.00014097942,0.1868188977241516,-0.23945320695638656,178.8181818181818,-21.69322331818182,1220,0.2,0.00019255438819527627,0.0003,0.9499708190560341,0.4842409521341324,0.0
389,40,15872,124,0.00065199845,0.13175123929977417,-0.24452814385294913,178.8181818181818,-21.69322331818182,1230,0.2,-0.0012279741000384091,0.0003,0.9654968343675137,0.20587643599137664,0.0015625
392,40,16000,125,0.0033045402,0.06410568207502365,-0.23314482793211938,178.8314606741573,-21.69437062921348,1240,0.2,-0.0038712960900738834,0.0003,0.9606103412806988,0.13570888163521885,0.01640625
395,40,16128,126,8.382276e-05,0.013680167496204376,-0.1923527777194977,178.84444444444443,-21.673397788888884,1250,0.2,1.648108009248972e-05,0.0003,0.9900355022400618,0.07111050873063504,0.0
398,40,16256,127,0.0010004379,0.07920753955841064,-0.17808429300785064,178.84444444444443,-21.673397788888884,1260,0.2,-0.0008661986328661441,0.0003,0.9832969028502703,0.09716968350112438,0.00234375
402,40,16384,128,0.0019322434,0.007995333522558212,-0.1721227377653122,178.85714285714286,-21.645362912087908,1270,0.2,-0.003355875751003623,0.0003,0.9674371667206287,0.15875173907261342,0.01640625
405,40,16512,129,0.00024266774,0.05746544152498245,-0.1515829436480999,178.8695652173913,-21.655365119565214,1280,0.2,-0.0007146975258365273,0.0003,0.9516794234514236,0.23698605373501777,0.00234375
408,40,16640,130,0.0009271172,0.07143499702215195,-0.14747994914650916,178.88172043010752,-21.647030129032252,1290,0.2,-0.0018178381957113742,0.0003,0.9846044704318047,0.10214808373712003,0.003125
411,40,16768,131,5.4668635e-07,0.07890003174543381,-0.13139390125870704,178.88172043010752,-21.647030129032252,1300,0.2,7.791921962052584e-06,0.0003,0.9457989744842052,0.17767459051683546,0.0
414,40,16896,132,6.0335733e-05,0.06565463542938232,-0.1449986554682255,178.89361702127658,-21.63055081914893,1310,0.2,-0.00013161422684788705,0.0003,0.9161817580461502,0.1628803128376603,0.0
417,40,17024,133,4.569022e-05,0.11850874125957489,-0.16243854612112046,178.90526315789472,-21.64657686315789,1320,0.2,-0.00010156016796827316,0.0003,0.9688998889178038,0.16546264244243503,0.0
420,40,17152,134,0.0009429855,0.1201736107468605,-0.17010779157280922,178.90526315789472,-21.64657686315789,1330,0.2,-0.004156879847869277,0.0003,0.9311748221516609,0.46404140070080757,0.00546875
424,40,17280,135,3.6379788e-05,0.11730551719665527,-0.12357882931828498,178.91666666666666,-21.644402531249998,1340,0.2,-5.705044604837894e-05,0.0003,0.9653248339891434,0.14904665146023036,0.0
427,40,17408,136,0.00041572098,0.010676303878426552,-0.11771565787494183,178.9278350515464,-21.65020973195876,1350,0.2,-0.0004894691985100508,0.0003,0.9826635289937258,0.07624329840764403,0.0015625
430,40,17536,137,0.0020971121,0.02063370682299137,-0.1564995341002941,178.9387755102041,-21.642724346938774,1360,0.2,-0.0015496014500968158,0.0003,0.9800803512334824,0.11822167597711086,0.01640625
433,40,17664,138,7.8074634e-05,0.13955451548099518,-0.24140410348773003,178.9387755102041,-21.642724346938774,1370,0.2,-0.0002206011675298214,0.0003,0.9254367500543594,0.3624688558280468,0.0
436,40,17792,139,0.0003475831,0.01359555870294571,-0.18137344792485238,178.94949494949495,-21.642988969696965,1380,0.2,-0.0005527846049517393,0.0003,0.9233097806572914,0.1473381606861949,0.003125
439,40,17920,140,0.0005591917,0.0024784645065665245,-0.19532393291592598,178.96,-21.630593059999995,1390,0.2,-0.0009494889061897993,0.0003,0.9906224831938744,0.06673738532699644,0.0046875
442,40,18048,141,3.1381845e-05,0.08620928972959518,-0.18251058086752892,178.96,-21.630593059999995,1400,0.2,0.00010745027102530003,0.0003,0.9782527573406696,0.1073420210275799,0.0
445,40,18176,142,0.00059046363,0.03785751014947891,-0.20784833356738092,179.43,-21.460067640000002,1410,0.2,-0.0011677136644721031,0.0003,0.9471081607043743,0.23285998404026031,0.00078125
448,40,18304,143,0.0022746092,0.007850385271012783,-0.21069021821022033,179.43,-21.199701659999995,1420,0.2,-0.002103545400314033,0.0003,0.9832915011793375,0.09129794435575604,0.01328125
451,40,18432,144,0.00045606354,0.10135111212730408,-0.2553174361586571,179.43,-21.199701659999995,1430,0.2,-0.0007705891039222479,0.0003,0.975451247766614,0.1456547986716032,0.00234375
454,40,18560,145,0.0016678427,0.12422643601894379,-0.2664375178515911,179.43,-21.0619263,1440,0.2,-0.0008743793121539056,0.0003,0.975618127733469,0.1346298500429839,0.009375
457,40,18688,146,0.00086554885,0.004218604415655136,-0.1990704730153084,180.0,-21.05783669,1450,0.2,-0.00037277587689459323,0.0003,0.9337488114833832,0.13672480061650277,0.003125
461,40,18816,147,0.00023571867,0.0752716138958931,-0.17786100506782532,180.0,-20.943741629999998,1460,0.2,-0.00039095616666600107,0.0003,0.9877062765881419,0.08389360082801431,0.00078125
464,40,18944,148,1.0086223e-06,0.03246769681572914,-0.15846946761012076,180.0,-20.943741629999998,1470,0.2,1.9926950335502626e-05,0.0003,0.9768603499978781,0.11495994813740254,0.0
467,40,19072,149,0.0006009503,0.05814984813332558,-0.21255101263523102,180.0,-20.927469820000002,1480,0.2,-0.0014089997741393745,0.0003,0.9560501463711262,0.19317471850663423,0.00234375
470,40,19200,150,0.0003978163,0.061311252415180206,-0.19738068133592607,180.0,-20.935383120000004,1490,0.2,-0.00043963699135929346,0.0003,0.9886962035670877,0.07107990318909288,0.00078125
473,40,19328,151,0.00073409127,0.06365785002708435,-0.2073343351483345,180.0,-20.935383120000004,1500,0.2,-0.0005659301241394132,0.0003,0.9862964926287532,0.08409660793840885,0.00546875
476,40,19456,152,0.0021587312,0.12189380079507828,-0.23005339801311492,180.0,-20.903906560000006,1510,0.2,-0.0015237353509292006,0.0003,0.9707182664424181,0.14290430461987852,0.01796875
480,40,19584,153,0.0001936336,0.19100968539714813,-0.21281517893075944,180.0,-20.865991949999998,1520,0.2,-0.0005640847608447075,0.0003,0.7866597473621368,0.5091397508978843,0.0
483,40,19712,154,0.0006501726,0.08732299506664276,-0.1948661155998707,180.0,-20.855769180000003,1530,0.2,-0.0018134947516955436,0.0003,0.9678653068840504,0.19602529164403676,0.00234375
486,40,19840,155,0.00061211456,0.005910517647862434,-0.17869086936116219,180.0,-20.855769180000003,1540,0.2,-0.0007224676897749305,0.0003,0.9790199510753155,0.08805997297167778,0.0015625
489,40,19968,156,3.5390258e-08,0.013740593567490578,-0.13875492811203002,180.0,-20.85800735,1550,0.2,-1.1117151007056237e-05,0.0003,0.9665408730506897,0.13550558183342218,0.0
492,40,20096,157,0.0014418578,0.046532612293958664,-0.11729112342000007,180.0,-20.829864710000003,1560,0.2,-0.0029257464222609995,0.0003,0.9842576254159212,0.08732480956241488,0.0078125
495,40,20224,158,0.0004512756,0.07683592289686203,-0.09069973826408387,180.0,-20.829864710000003,1570,0.2,-0.0005246722255833447,0.0003,0.9858890119940042,0.086475022835657,0.00234375
498,40,20352,159,2.3841858e-07,0.014368853531777859,-0.09977264739573002,180.0,-20.824449729999998,1580,0.2,2.6646535843610764e-06,0.0003,0.9693646710366011,0.15422384543344378,0.0
501,40,20480,160,6.519258e-09,0.0017753993161022663,-0.0778788760304451,180.0,-20.84063888,1590,0.2,-4.754378460347653e-06,0.0003,0.9759898465126753,0.07726979570579715,0.0
504,40,20608,161,2.850499e-05,0.0174592025578022,-0.07934591546654701,180.0,-20.830103899999997,1600,0.2,-5.210579838603735e-05,0.0003,0.984119700267911,0.12926168823614717,0.0
508,40,20736,162,0.00036318647,0.000572525430470705,-0.0955453246831894,180.0,-20.830103899999997,1610,0.2,-0.0006093444011639803,0.0003,0.9827462658286095,0.08553707358660176,0.00390625
511,40,20864,163,0.00026848726,0.06180441007018089,-0.08771306686103345,180.0,-20.839140080000004,1620,0.2,-0.00022865007631480693,0.0003,0.9563943333923817,0.14019042998552322,0.0
514,40,20992,164,0.0009677042,0.05335146561264992,-0.11171631366014481,180.0,-20.822708949999996,1630,0.2,-0.001199180050753057,0.0003,0.9881410002708435,0.07616486586630344,0.009375
517,40,21120,165,2.8964132e-07,0.0076326048001646996,-0.13768039122223855,180.0,-20.822708949999996,1640,0.2,-4.700422286987305e-05,0.0003,0.9679804854094982,0.14121058555319904,0.0
520,40,21248,166,0.0010190369,0.1501498967409134,-0.169009018689394,180.0,-20.835740769999997,1650,0.2,-0.0024891773238778113,0.0003,0.9496291615068913,0.24041601046919822,0.003125
523,40,21376,167,0.00019979943,0.06021846830844879,-0.13876076340675353,180.0,-20.86192986,1660,0.2,-0.00023036175407469272,0.0003,0.982334565371275,0.06912820991128683,0.00078125
526,40,21504,168,7.803459e-05,0.18021920323371887,-0.16175941675901412,180.0,-20.860977600000002,1670,0.2,-0.0003726620692759752,0.0003,0.9568847119808197,0.45450842678546904,0.0
529,40,21632,169,0.00010020379,0.1378205120563507,-0.11333045214414597,180.0,-20.860977600000002,1680,0.2,-7.224944420158863e-05,0.0003,0.9746678806841373,0.14562344463774934,0.0
533,40,21760,170,0.00053627463,0.060937102884054184,-0.10357409343123436,180.0,-20.87385037,1690,0.2,-0.00045378371141850947,0.0003,0.9395849592983723,0.1653005363419652,0.00078125
536,40,21888,171,1.3932586e-06,0.009633833542466164,-0.09011246412992477,180.0,-20.83973289,1700,0.2,-5.7707191444933414e-05,0.0003,0.988957354798913,0.07716039204970002,0.0
539,40,22016,172,0.0006596069,0.017532048746943474,-0.08937104530632496,180.0,-20.83973289,1710,0.2,-0.0013509836047887803,0.0003,0.9476635605096817,0.21606737282127142,0.00390625
542,40,22144,173,1.6633421e-06,0.0700429230928421,-0.09936914965510368,180.0,-20.827141190000003,1720,0.2,3.864755854010582e-06,0.0003,0.9707723502069712,0.1390163229778409,0.0
545,40,22272,174,8.0363825e-06,0.06579407304525375,-0.10615587793290615,180.0,-20.82318306,1730,0.2,-8.257217414211481e-05,0.0003,0.9830117970705032,0.07377472566440701,0.0
548,40,22400,175,0.00010294281,0.011642428115010262,-0.1311458393931389,180.0,-20.810525079999998,1740,0.2,-0.00020021817181259394,0.0003,0.9881754098460078,0.0747924193739891,0.0
551,40,22528,176,0.00044006296,0.0554240420460701,-0.10899824500083924,180.0,-20.810525079999998,1750,0.2,-0.000581619661534205,0.0003,0.9558442048728466,0.1779755212366581,0.003125
554,40,22656,177,0.0004250058,0.019334565848112106,-0.12121324203908443,180.0,-20.798697989999997,1760,0.2,-0.0003017491777427495,0.0003,0.9322272762656212,0.14383001625537872,0.003125
558,40,22784,178,0.0035505765,0.055070243775844574,-0.11812296248972416,180.0,-20.782102069999997,1770,0.2,-0.00402857712469995,0.0003,0.9903702745214105,0.0647828675340861,0.01875
561,40,22912,179,0.0009762994,0.08778280019760132,-0.13921787366271018,180.0,-20.782102069999997,1780,0.2,-0.001014981628395617,0.0003,0.9772017635405064,0.10458797083701939,0.00625
