time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
25088,74,-6.320955689999998,60.0,49,337,480,0.04952073892927729,-2.2829006224870683,0.1673828125,0.2,0.0003,0.016776685,-0.01635087871691212,-0.11671815812587738,0.6527696847915649
25600,74,-6.356694910000001,60.0,50,343,490,0.0032470372287207285,-2.2925365924835206,0.075,0.2,0.0003,0.009977565,-0.01415825129370205,-0.14959681034088135,0.9366264566779137
26112,74,-6.415344870000001,60.0,51,350,500,0.15615788963623345,-2.3009497582912446,0.080859375,0.2,0.0003,0.011191525,-0.017973649385385215,-0.10456731915473938,0.31251686811447144
26624,74,-6.41719353,60.0,52,357,510,0.06395276531111449,-2.3222508132457733,0.0978515625,0.2,0.0003,0.014875983,-0.012655649153748528,-0.1114741861820221,0.42930150032043457
27136,74,-6.38835366,60.0,53,364,520,0.006197562493616715,-2.322130632400513,0.1771484375,0.2,0.0003,0.014594717,-0.02765347798122093,-0.155898317694664,0.936336375772953
27648,74,-6.385888359999999,60.0,54,371,530,0.004750570753822103,-2.3241061121225357,0.122265625,0.2,0.0003,0.011986949,-0.018277728860266507,-0.14653310179710388,0.9329868629574776
28160,74,-6.383013020000001,60.0,55,378,540,0.002139182694372721,-2.3304506987333298,0.1548828125,0.2,0.0003,0.013262844,-0.02067199972225353,-0.12375430017709732,0.9654493369162083
28672,74,-6.380259189999999,60.0,56,385,550,0.0029193815382313913,-2.3339017182588577,0.1083984375,0.2,0.0003,0.013270773,-0.018582856486318633,-0.10816332697868347,0.969439497217536
29184,74,-6.393188319999999,60.0,57,392,560,0.0021694458104320803,-2.306170815229416,0.1994140625,0.2,0.0003,0.014621094,-0.02869448794517666,-0.16478288173675537,0.9698077775537968
29696,74,-6.3753062200000015,60.0,58,398,570,0.036826854757964614,-2.3012013703584673,0.1390625,0.2,0.0003,0.012047706,-0.01541094271815382,-0.12095866352319717,0.6490764319896698
30208,74,-6.37736771,60.0,59,405,580,0.0017427700862754137,-2.3192529648542406,0.119921875,0.2,0.0003,0.014387263,-0.01509613182861358,-0.1309681087732315,0.9705065675079823
30720,74,-6.35851717,60.0,60,412,590,0.002809395987424068,-2.3232284605503084,0.0859375,0.2,0.0003,0.009357292,-0.014854630077024922,-0.1293686181306839,0.965460941195488
31232,74,-6.35196586,60.0,61,419,600,0.0023771225052769294,-2.3400834262371064,0.055078125,0.2,0.0003,0.0081374645,-0.011262197015457786,-0.15761502087116241,0.9690689574927092
31744,74,-6.276519629999999,60.0,62,426,610,0.0013378583862504456,-2.3289026767015457,0.16875,0.2,0.0003,0.015092503,-0.02336447487468831,-0.18626727163791656,0.9825228117406368
32256,74,-6.25066405,60.0,63,433,620,0.04826319661224261,-2.326552781462669,0.1013671875,0.2,0.0003,0.0123295635,-0.015769753186032177,-0.10753703117370605,0.48339617252349854
32768,74,-6.242445470000002,60.0,64,441,630,0.0028889177498058415,-2.3168159812688827,0.0990234375,0.2,0.0003,0.011077119,-0.015150527452351525,-0.1403648406267166,0.9451830759644508
33280,74,-6.2476109499999986,60.0,65,448,640,0.0029073320489260367,-2.286214777827263,0.1279296875,0.2,0.0003,0.012511274,-0.021314419398549944,-0.13487637042999268,0.9609441980719566
33792,74,-6.255022949999999,60.0,66,455,650,0.0023163988400483502,-2.2702040135860444,0.12421875,0.2,0.0003,0.013194858,-0.019016960787121208,-0.14726358652114868,0.9464731812477112
34304,74,-6.290643279999999,60.0,67,462,660,0.0627813990577124,-2.2513126492500306,0.1162109375,0.2,0.0003,0.012776419,-0.01796362950117327,-0.12211920320987701,0.5669992566108704
34816,74,-6.265903430000001,60.0,68,469,670,0.051455607323441656,-2.2167414486408235,0.11328125,0.2,0.0003,0.013115223,-0.018003332475200296,-0.12636280059814453,0.687371551990509
35328,74,-6.2616298000000015,60.0,69,476,680,0.007056989800184965,-2.2191699266433718,0.1609375,0.2,0.0003,0.013117775,-0.021084009541664273,-0.12742458283901215,0.8939492329955101
35840,74,-6.304147569999999,60.0,70,483,690,0.04801337454118766,-2.1876876622438433,0.0619140625,0.2,0.0003,0.006659221,-0.012730236019706354,-0.057655952870845795,0.7036845684051514
36352,74,-6.3000242800000015,60.0,71,489,700,0.06977043192600832,-2.2087035298347475,0.141015625,0.2,0.0003,0.014086524,-0.01590636165929027,-0.07901816070079803,0.4535905122756958
36864,74,-6.2923056200000005,60.0,72,496,710,0.0071903683332493525,-2.1891357570886614,0.1615234375,0.2,0.0003,0.014873047,-0.02265958657953888,-0.12576858699321747,0.8948879987001419
37376,74,-6.295432430000001,60.0,73,503,720,0.004994206322589889,-2.1228276640176773,0.1041015625,0.2,0.0003,0.011153736,-0.022538392228307204,-0.11255540698766708,0.9201763942837715
37888,74,-6.280097940000001,60.0,74,510,730,0.002958916377974674,-2.0806004822254183,0.1244140625,0.2,0.0003,0.013802709,-0.020508136635180564,-0.12267892062664032,0.9647315964102745
38400,74,-6.27114735,60.0,75,518,740,0.0039058117021340878,-2.009588697552681,0.155859375,0.2,0.0003,0.012580216,-0.026139396021608263,-0.12625643610954285,0.954035647213459
38912,74,-6.258218219999999,60.0,76,524,750,0.005573584098601714,-1.9491335660219193,0.15703125,0.2,0.0003,0.014439988,-0.021442510187625885,-0.1469534933567047,0.9016645848751068
39424,74,-6.233306700000001,60.0,77,531,760,0.004745772427122574,-1.9147910341620444,0.1490234375,0.2,0.0003,0.010549117,-0.024139314622152595,-0.14634345471858978,0.910821221768856
39936,74,-6.1807627300000005,60.0,78,538,770,0.005318812819314189,-1.8281910687685012,0.11640625,0.2,0.0003,0.013701734,-0.023846934945322574,-0.10653945803642273,0.9077428504824638
40448,74,-6.1480105400000005,60.0,79,544,780,0.004016726461122744,-1.7756296932697295,0.0767578125,0.2,0.0003,0.008999998,-0.016546011430909856,-0.1134038195014,0.8739321678876877
