time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,train/value_loss,rollout/ep_len_mean
7680,103,15,74,-0.16867004334926605,0.2,-2.2595621049404144,0.0003,0.2005859375,0.0151587,-0.026313382730586456,0.9567220434546471,-15.248966145833334,140,0.00766191681905184,150.0
8192,110,16,74,-0.09869728982448578,0.2,-2.261780026555061,0.0003,0.1587890625,0.014060369,-0.018342399678658694,0.5357266068458557,-15.001949057692308,150,0.23125666859559715,150.0
8704,117,17,74,-0.12231913208961487,0.2,-2.278550884127617,0.0003,0.1365234375,0.013704921,-0.0192123354121577,0.8136280626058578,-14.751508285714285,160,0.10429042417090387,150.0
9216,123,18,74,-0.13671116530895233,0.2,-2.2575849026441572,0.0003,0.1822265625,0.016212495,-0.026832204643869772,0.9327991530299187,-14.465691916666666,170,0.012813426717184485,150.0
9728,131,19,74,-0.11594919860363007,0.2,-2.2315328657627105,0.0003,0.02578125,0.005761302,-0.009781960523105227,0.892416886985302,-14.2445671875,180,0.05006373461801559,150.0
10240,137,20,74,-0.15245722234249115,0.2,-2.233054056763649,0.0003,0.1556640625,0.014049276,-0.02537196819903329,0.9267040640115738,-14.047935602941175,190,0.02509096432477236,150.0
10752,143,21,74,-0.15083664655685425,0.2,-2.215049260854721,0.0003,0.0796875,0.008834764,-0.012435518321581185,0.9118684306740761,-14.047935602941175,200,0.009937093628104776,150.0
11264,151,22,74,-0.08624353259801865,0.2,-2.224462848901749,0.0003,0.1533203125,0.014226426,-0.01510925082839094,0.8417272120714188,-13.862367277777778,210,0.052740959264338014,150.0
11776,158,23,74,-0.15712815523147583,0.2,-2.2319650650024414,0.0003,0.16796875,0.014142068,-0.02012424119748175,0.925514928996563,-13.682088868421054,220,0.00450792938208906,150.0
12288,165,24,74,-0.16256578266620636,0.2,-2.2010141581296923,0.0003,0.1826171875,0.014636617,-0.025601970998104663,0.9588169418275356,-13.5110294125,230,0.003233336617995519,150.0
