time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
19968,79,39,249,0.0003,380,-22.813671770000006,-2.228729897737503,178.69,0.09419161826372147,0.0033070222,0.18465611250139774,0.1,0.9673961400985718,-0.012373231159290298,0.152734375
20480,79,40,257,0.0003,390,-22.515190630000003,-2.2250259041786196,178.69,0.14051197469234467,0.003466256,0.1798602806404233,0.1,0.9510051384568214,-0.011836721579311416,0.1736328125
20992,79,41,264,0.0003,400,-22.09814329,-2.1987947434186936,178.69,0.022052492946386337,0.0031192317,0.19815130038186907,0.1,0.944482110440731,-0.009679310349747538,0.1548828125
21504,79,42,271,0.0003,410,-21.85098579,-2.159264275431633,179.02,0.024860624223947525,0.0044519166,0.16587112843990326,0.1,0.9638554118573666,-0.01416241741972044,0.2669921875
22016,79,43,278,0.0003,420,-21.69830479,-2.1527325004339217,179.02,0.08817332983016968,0.0035903784,0.17805889137089254,0.1,0.964523758739233,-0.0107433577417396,0.1564453125
22528,78,44,287,0.0003,430,-21.698945270000003,-2.179960387945175,179.5,0.003935040906071663,0.0043795668,0.21715654574800283,0.1,0.9291216880083084,-0.01382913663983345,0.239453125
23040,78,45,294,0.0003,440,-21.18804538,-2.2149988919496537,179.5,0.07347187399864197,0.0037117428,0.1826685639563948,0.1,0.9540185257792473,-0.011617557180579751,0.216015625
23552,78,46,301,0.0003,450,-21.149775990000002,-2.2102826565504072,179.5,0.10325932502746582,0.0031392178,0.1197303501656279,0.1,0.972317161038518,-0.00957919268985279,0.1431640625
24064,77,47,308,0.0003,460,-21.02310202,-2.2031038463115693,179.5,0.12883451581001282,0.0029196544,0.1827405089046806,0.1,0.9524413608014584,-0.00962499059678521,0.1103515625
24576,77,48,315,0.0003,470,-20.851391300000003,-2.170560410618782,179.5,0.13486358523368835,0.0027643088,0.21976718353107572,0.1,0.9379316046833992,-0.007299492473248392,0.123828125
25088,77,49,322,0.0003,480,-20.787840560000003,-2.208149513602257,179.5,0.1404392421245575,0.0033670706,0.21616114741191267,0.1,0.9489236623048782,-0.009275513817556202,0.116015625
25600,77,50,329,0.0003,490,-20.672698000000004,-2.2002864509820936,179.5,0.0734889805316925,0.003371986,0.135747081018053,0.1,0.9670591428875923,-0.01160323095973581,0.1365234375
26112,77,51,336,0.0003,500,-20.596358960000003,-2.1978565216064454,179.5,0.013926755636930466,0.0047947383,0.19857862847857177,0.1,0.9397632330656052,-0.015028845999040641,0.2271484375
26624,77,52,343,0.0003,510,-20.582011689999998,-2.20610568523407,179.5,-0.008780555799603462,0.0035375825,0.15836342812981458,0.1,0.959355715662241,-0.007971613248810173,0.133203125
27136,77,53,350,0.0003,520,-20.589390270000003,-2.1609064280986785,179.5,0.05107874050736427,0.0054598167,0.17545011444017292,0.1,0.9687627628445625,-0.010886584193212912,0.1859375
27648,77,54,357,0.0003,530,-20.537847510000002,-2.1596059173345568,179.5,0.07380984723567963,0.002593169,0.13566782425623386,0.1,0.9686355739831924,-0.010869105986785144,0.158203125
28160,77,55,363,0.0003,540,-20.490897609999998,-2.2133769541978836,179.5,0.017800480127334595,0.0025598542,0.22364147631451486,0.1,0.9437946155667305,-0.007229477976216004,0.1005859375
28672,77,56,370,0.0003,550,-20.533419279999997,-2.14847945868969,179.5,0.05740141123533249,0.0037349202,0.15732402140274643,0.1,0.9629942066967487,-0.009138254431309178,0.1546875
29184,77,57,376,0.0003,560,-20.560888870000003,-2.150041365623474,179.5,-0.00016529858112335205,0.0029310882,0.11773226654622704,0.1,0.976786382496357,-0.013263180895592086,0.136328125
