time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
65536,80,128,816,0.0003,1270,-20.35496528,-1.667459461092949,179.5,0.009589157998561859,0.0047471747,0.16900595263577997,0.1,0.9600525051355362,-0.012542294338345528,0.168359375
66048,80,129,822,0.0003,1280,-20.35791145,-1.8211523026227951,179.5,0.07499820739030838,0.0030263364,0.11148034816142172,0.1,0.9779502060264349,-0.011772809026297182,0.1763671875
66560,80,130,828,0.0003,1290,-20.34913414,-1.5981356725096703,179.5,0.017646359279751778,0.0024380067,0.15373636824078857,0.1,0.9628875590860844,-0.007728865745593794,0.094921875
67072,80,131,835,0.0003,1300,-20.36324552,-1.372443065047264,179.5,0.16672702133655548,0.0035575207,0.19030777656007558,0.1,0.9581090472638607,-0.012140169757185505,0.1755859375
67584,80,132,841,0.0003,1310,-20.37969236,-1.740250676870346,179.5,-0.0032033221796154976,0.0029723882,0.11960309452842921,0.1,0.9679176807403564,-0.011487936686171452,0.1626953125
68096,80,133,847,0.0003,1320,-20.397454699999997,-1.640744449198246,179.5,0.01743382029235363,0.0029503186,0.11024969301652163,0.1,0.9837214611470699,-0.014150945434812457,0.1841796875
68608,80,134,853,0.0003,1330,-20.395889199999996,-1.2123626485466956,179.5,0.11346802115440369,0.0022748387,0.13616351233795285,0.1,0.9670905210077763,-0.011176487908232956,0.1484375
69120,80,135,859,0.0003,1340,-20.43503663,-1.5158069342374803,179.5,0.07194993644952774,0.0035494561,0.15589828388765453,0.1,0.9559442847967148,-0.007822812983067706,0.13359375
69632,80,136,865,0.0003,1350,-20.39893896,-1.7152587294578552,179.5,0.1004137322306633,0.004736025,0.07767336657270789,0.1,0.9854889921844006,-0.015091285202652216,0.1994140625
70144,80,137,872,0.0003,1360,-20.37830678,-1.579148118197918,179.5,0.05318951606750488,0.0029175486,0.15080693694762887,0.1,0.9700178671628237,-0.011905532423406839,0.112109375
70656,80,138,878,0.0003,1370,-20.38028595,-1.67843017578125,179.5,0.05262318626046181,0.0032504203,0.15763250298332424,0.1,0.9614100120961666,-0.011840677575673909,0.1607421875
71168,80,139,884,0.0003,1380,-20.36657344,-2.000338888168335,179.5,0.052259720861911774,0.0030954983,0.1566895716357976,0.1,0.9482679180800915,-0.011452562047634274,0.1427734375
71680,80,140,890,0.0003,1390,-20.37991777,-1.9203708320856094,179.5,0.035747189074754715,0.0027409345,0.12194789855275304,0.1,0.9784217979758978,-0.009618790278909727,0.1515625
72192,80,141,896,0.0003,1400,-20.39176465,-1.5305985823273658,179.5,0.07046617567539215,0.0035991203,0.12335064224898815,0.1,0.9616412296891212,-0.010615576937561854,0.1240234375
72704,80,142,903,0.0003,1410,-20.37421144,-1.628262397646904,179.5,0.06101837009191513,0.0024885868,0.172680451371707,0.1,0.9459423497319221,-0.008363380533410236,0.103125
73216,80,143,909,0.0003,1420,-20.376409629999998,-1.7592872440814973,179.5,0.0661613717675209,0.0030882803,0.08159804122988135,0.1,0.9834231529384851,-0.012693861941806972,0.1447265625
73728,80,144,915,0.0003,1430,-20.365048299999998,-1.7695742011070252,179.5,0.007211964577436447,0.0032960963,0.13741800335701554,0.1,0.9689405802637339,-0.014020040398463607,0.1625
