r,l,t,cum_timesteps,success_proxy
-6.006177,60,163.626175,9780,False
-7.203236,60,163.631171,9840,False
-6.737121,60,166.889506,9900,False
-6.26595,60,166.892125,9960,False
-6.202454,60,166.894094,10020,False
-6.099187,60,166.896093,10080,False
-5.532204,60,171.189551,10140,False
-5.943882,60,171.192092,10200,False
-5.805205,60,171.197135,10260,False
-6.026738,60,171.197135,10320,False
-6.146298,60,174.505547,10380,False
-7.262233,60,174.509659,10440,False
-6.466528,60,174.510659,10500,False
-6.196048,60,174.514251,10560,False
-5.856098,60,179.456327,10620,False
-6.797184,60,179.471957,10680,False
-6.999585,60,179.47392,10740,False
-5.783231,60,179.47392,10800,False
-6.149514,60,182.733657,10860,False
-6.103809,60,182.743242,10920,False
-5.835933,60,182.745243,10980,False
-6.165469,60,182.747241,11040,False
-5.744312,60,187.065663,11100,False
-5.497891,60,187.070251,11160,False
-6.44324,60,187.074254,11220,False
-7.471086,60,187.077249,11280,False
-6.086562,60,190.450135,11340,False
-6.317735,60,190.459724,11400,False
-6.03743,60,190.459724,11460,False
-5.719598,60,190.460721,11520,False
-6.589181,60,193.74942,11580,False
-5.993147,60,193.762003,11640,False
-6.341086,60,193.765001,11700,False
-6.997903,60,193.77,11760,False
-6.410158,60,198.073191,11820,False
-6.074064,60,198.07777,11880,False
-5.876631,60,198.07777,11940,False
-5.98917,60,198.081774,12000,False
-7.417118,60,201.271392,12060,False
-6.98042,60,201.279011,12120,False
-5.841524,60,201.28101,12180,False
-7.367204,60,201.283985,12240,False
-6.041698,60,206.648697,12300,False
-6.375282,60,206.671282,12360,False
-6.971017,60,206.672283,12420,False
-6.257546,60,206.687282,12480,False
-5.988439,60,210.329323,12540,False
-5.914383,60,210.334836,12600,False
-6.388732,60,210.337913,12660,False
-6.438065,60,210.338909,12720,False
-6.038517,60,214.995692,12780,False
-7.32227,60,215.004282,12840,False
-6.479198,60,215.010282,12900,False
-5.865299,60,215.010282,12960,False
-6.132159,60,218.252825,13020,False
-5.876043,60,218.255198,13080,False
-6.405403,60,218.255813,13140,False
-7.26111,60,218.263791,13200,False
-6.995873,60,222.667332,13260,False
-6.196004,60,222.671395,13320,False
-6.458307,60,222.673394,13380,False
-5.589956,60,222.674396,13440,False
-6.479316,60,225.985842,13500,False
-5.822796,60,225.989006,13560,False
-6.973926,60,225.989006,13620,False
-6.141797,60,225.996428,13680,False
-5.878655,60,230.323084,13740,False
-6.084934,60,230.331643,13800,False
-7.09707,60,230.331643,13860,False
-5.924041,60,230.33367,13920,False
-7.178359,60,233.642469,13980,False
-6.3475,60,233.646055,14040,False
-6.811454,60,233.647054,14100,False
-6.12105,60,233.654075,14160,False
-6.156992,60,238.007087,14220,False
-6.696842,60,238.012674,14280,False
-5.908559,60,238.013679,14340,False
-5.713154,60,238.017673,14400,False
-6.371437,60,241.221101,14460,False
-6.435829,60,241.23058,14520,False
-7.287865,60,241.23058,14580,False
-6.622083,60,241.232688,14640,False
-6.088868,60,245.546922,14700,False
