rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
0.4502666666666666,18,84,19.773809523809526,-0.6091159642857145,96,1736,0.3460172414779663,0.00025,96
0.4338000000000002,17,88,19.022727272727273,-0.34241022727272735,100,1788,0.3049134612083435,0.00025,99
0.4186000000000003,17,92,18.92391304347826,-0.11550758695652179,105,1836,0.3259187340736389,0.00025,102
0.3755333333333336,17,96,19.833333333333332,-0.3263552604166666,110,1972,0.1828680783510208,0.00025,111
0.3476666666666668,17,100,20.17,-0.48758570999999995,115,2060,0.3642977178096771,0.00025,116
0.29953333333333354,18,104,20.93,-0.6813628799999999,121,2212,0.19969862699508667,0.00025,126
0.23746666666666694,18,108,21.82,-0.8680361600000002,127,2408,0.43374109268188477,0.00025,138
0.1791999999999998,19,112,23.27,-1.14159649,133,2592,0.34401607513427734,0.00025,149
0.14500000000000035,19,116,24.3,-1.34282114,138,2700,0.05400872230529785,0.00025,156
0.06900000000000028,20,120,26.13,-1.7678938199999998,144,2940,0.06430504471063614,0.00025,171
0.05,21,124,28.01,-2.2157104400000005,150,3180,0.33530935645103455,0.00025,186
0.05,21,128,30.09,-2.60900126,157,3420,0.046340666711330414,0.00025,201
0.05,21,132,30.7,-2.4270658400000005,162,3544,0.5041630268096924,0.00025,209
0.05,22,136,32.99,-2.8751895899999997,168,3784,0.24089805781841278,0.00025,224
0.05,22,140,34.63,-3.3617689100000003,174,3944,0.303558349609375,0.00025,234
0.05,22,144,33.58,-2.45061222,179,4040,0.2842632532119751,0.00025,240
0.05,22,148,34.54,-2.60169728,185,4256,0.12833669781684875,0.00025,253
0.05,23,152,35.54,-2.6425384800000002,191,4496,0.38927507400512695,0.00025,268
0.05,23,156,36.37,-2.7736097,196,4636,0.2679406702518463,0.00025,277
0.05,23,160,37.56,-2.95925517,203,4840,0.27386462688446045,0.00025,290
0.05,23,164,37.05,-2.6396995899999998,207,4892,0.13365033268928528,0.00025,293
0.05,23,168,37.34,-2.6505968299999996,212,5044,0.05727190896868706,0.00025,303
0.05,23,172,37.16,-2.4105929,217,5148,0.08119714260101318,0.00025,309
0.05,23,176,36.6,-2.22594788,222,5184,0.18628594279289246,0.00025,311
0.05,23,180,36.29,-2.02738139,227,5260,0.08679264783859253,0.00025,316
0.05,23,184,36.07,-2.6264530600000002,232,5412,0.08844657242298126,0.00025,326
0.05,22,188,37.23,-2.94562125,237,5452,0.26038089394569397,0.00025,328
0.05,23,192,38.37,-3.3179295499999997,243,5680,0.21910913288593292,0.00025,342
0.05,23,196,38.02,-3.1430373300000007,248,5744,0.03473725542426109,0.00025,346
0.05,23,200,39.29,-3.3090864,254,5984,0.21374475955963135,0.00025,361
0.05,23,204,40.02,-3.4866423199999996,260,6184,0.011570876464247704,0.00025,374
0.05,24,208,40.09,-3.5367290399999995,266,6396,0.3044026792049408,0.00025,387
0.05,23,212,39.53,-3.38436533,271,6496,0.12561605870723724,0.00025,393
0.05,24,216,39.36,-3.5752864499999997,276,6664,0.1752810776233673,0.00025,404
0.05,24,220,39.36,-3.5600635699999996,282,6904,0.1825629472732544,0.00025,419
0.05,24,224,38.93,-3.4772018399999998,286,7088,0.31353139877319336,0.00025,430
0.05,25,228,38.93,-3.4975021299999995,291,7328,0.05357327684760094,0.00025,445
0.05,25,232,40.0,-3.7860837700000003,297,7568,0.09890089184045792,0.00025,460
0.05,25,236,39.01,-3.5062979499999996,301,7692,0.11181525141000748,0.00025,468
0.05,25,240,38.8,-3.33995689,307,7864,0.028744706884026527,0.00025,479
0.05,25,244,39.21,-3.529279469999999,312,7952,0.18676908314228058,0.00025,484
0.05,25,248,39.76,-3.69223111,318,8192,0.08491531014442444,0.00025,499
0.05,25,252,39.76,-3.7613662199999998,325,8432,0.2565781772136688,0.00025,514
0.05,25,256,38.82,-3.578800109999999,329,8460,0.06293782591819763,0.00025,516
0.05,25,260,37.98,-3.3376390600000003,335,8660,0.10229680687189102,0.00025,529
0.05,26,264,39.05,-3.6104071999999996,342,8900,0.1475382149219513,0.00025,544
0.05,25,268,39.84,-3.8824213600000004,350,9008,0.3755769729614258,0.00025,550
0.05,25,272,39.04,-3.71930202,356,9140,0.09713416546583176,0.00025,559
0.05,25,276,40.65,-4.156291970000001,362,9260,0.15828096866607666,0.00025,566
0.05,25,280,41.75,-4.455059230000001,368,9448,0.18713025748729706,0.00025,578
