rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss
4.34,14336,1862,14,7,6.639086099999999,-0.010942104482091963,-2.344874235987663,13.847900390625,0.5032417476177216,130,0.1,0.0003,0.003480218,0.13857421875,25.230531573295593
5.38,15360,2082,15,7,6.000037580000001,-0.01108534384984523,-2.3004861146211626,7.181944370269775,0.545928418636322,140,0.1,0.0003,0.0039080847,0.1841796875,17.27488369047642
4.92,16384,2302,16,7,5.595766609999998,-0.009966817306121811,-2.2626821368932726,9.019784927368164,0.6002308428287506,150,0.1,0.0003,0.0032692845,0.18115234375,18.405072146654128
4.37,17408,2525,17,6,5.8631723099999995,-0.008485695731360465,-2.234056733548641,13.536928176879883,0.509943813085556,160,0.1,0.0003,0.0029977318,0.14716796875,24.812535947561265
4.65,18432,2754,18,6,5.5149422800000005,-0.01099008601740934,-2.221670685708523,10.158880233764648,0.5901089012622833,170,0.1,0.0003,0.003232304,0.16611328125,19.86278898715973
5.23,19456,2979,19,6,5.350861179999999,-0.005364241331699304,-2.152135583758354,14.35883903503418,0.3446916341781616,180,0.1,0.0003,0.0020045836,0.07158203125,26.910605716705323
5.47,20480,3201,20,6,5.0840079000000005,-0.009895664222858614,-2.2034928783774377,6.712822437286377,0.5636983513832092,190,0.1,0.0003,0.0046048537,0.1935546875,20.63816068172455
4.5,21504,3437,21,6,5.79782251,-0.007076984690502286,-2.1631343334913256,21.88705825805664,0.475874662399292,200,0.1,0.0003,0.00226049,0.0673828125,31.878250312805175
3.46,22528,3719,22,6,6.28199926,-0.012080883007729425,-2.1347214192152024,18.36737823486328,0.5413518846035004,210,0.1,0.0003,0.0037969197,0.1609375,27.900005835294724
3.88,23552,3975,23,5,5.82957248,-0.010778258202481083,-2.0897244863212108,10.281808853149414,0.6213393211364746,220,0.1,0.0003,0.003659218,0.18642578125,19.041121697425844
3.9,24576,4241,24,5,5.4296167,-0.006897319850395434,-2.059984877705574,15.063285827636719,0.5588181912899017,230,0.1,0.0003,0.0023719692,0.1044921875,26.110067880153657
3.96,25600,4483,25,5,5.774529060000001,-0.006919201088021509,-2.014145590364933,8.154982566833496,0.40460801124572754,240,0.1,0.0003,0.002496142,0.0763671875,32.39764007925987
3.41,26624,4731,26,5,6.463517830000001,-0.007986759548657574,-2.061028902977705,12.594087600708008,0.4545508623123169,250,0.1,0.0003,0.0029518087,0.10380859375,31.823715764284135
4.7,27648,5050,27,5,5.09006407,-0.008667709962173831,-2.0536110252141953,8.41860580444336,0.6035306453704834,260,0.1,0.0003,0.0031454775,0.12548828125,24.219250440597534
4.08,28672,5378,28,5,4.89742182,-0.005980125005589798,-1.9961042284965516,7.977375507354736,0.5339469015598297,270,0.1,0.0003,0.0025538001,0.09306640625,30.38892439007759
3.46,29696,5679,29,5,5.99095702,-0.005966505852120463,-1.9801302954554558,13.138311386108398,0.4534776210784912,280,0.1,0.0003,0.0026639677,0.08671875,31.735705691576005
3.02,30720,6001,30,5,6.455063509999999,-0.00845653692522319,-1.8896198205649852,9.011103630065918,0.39214402437210083,290,0.1,0.0003,0.0033610198,0.11630859375,31.74923927783966
4.02,31744,6252,31,5,6.009766580000001,-0.007084151811432094,-1.77389957010746,7.892486572265625,0.4717259407043457,300,0.1,0.0003,0.0027460766,0.12939453125,19.533212494850158
2.86,32768,6554,32,4,7.11117471,-0.0060557991135283375,-2.003992324322462,6.064218997955322,0.5410681366920471,310,0.1,0.0003,0.0040072976,0.13330078125,22.615664076805114
5.05,33792,6782,33,4,4.86117476,-0.00850739485467784,-1.885611716657877,24.521623611450195,0.3918115496635437,320,0.1,0.0003,0.003470021,0.1087890625,44.32867777347565
4.26,34816,6990,34,4,6.337490170000001,-0.009110566653544084,-2.0851898692548274,12.675947189331055,0.4349302053451538,330,0.1,0.0003,0.0036826718,0.12275390625,27.86728744506836
3.2,35840,7292,35,4,6.550853159999999,-0.005763167266559321,-2.01757333278656,10.743992805480957,0.43646669387817383,340,0.1,0.0003,0.00284888,0.09697265625,23.687422502040864
3.85,36864,7675,36,4,6.187231599999999,-0.009433489691582508,-1.8612868078052998,6.83235502243042,0.5674020349979401,350,0.1,0.0003,0.0032015587,0.13583984375,17.398472142219543
3.76,37888,7977,37,4,6.109809,-0.008154169688350522,-1.8621335841715336,8.054853439331055,0.4991571307182312,360,0.1,0.0003,0.0025958717,0.137890625,23.1843355178833
1.66,38912,8269,38,4,6.8592897,-0.008856926584849134,-1.8836832404136659,8.695444107055664,0.420834481716156,370,0.1,0.0003,0.003536785,0.13876953125,33.25961118936539
3.51,39936,8611,39,4,6.712437700000001,-0.008424818010826129,-1.8447328634560107,7.883167743682861,0.5701733231544495,380,0.1,0.0003,0.0033057956,0.12626953125,20.317855340242385
2.77,40960,8919,40,4,6.7919358,-0.009385696024401114,-1.8639767974615098,5.175003528594971,0.5567134320735931,390,0.1,0.0003,0.0027652984,0.145703125,18.039467963576318
