#{"t_start": 1785432288.313564, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
8.016859,1,2813.032663,True,False,True,0.002583707488372944,3.4231864764527473,,False
8.24956,1,2814.199852,True,False,True,2.792244197303685e-10,2.999997965528651,,False
3.414223,11,2826.520329,True,False,True,0.006851627594041523,9.833905343668372,,False
7.349015,3,2829.500764,True,False,True,3.973686960236154e-05,2.99284731476438,,False
-34.844899,60,2877.267097,False,False,True,0.016343892969036326,20.755941266985086,,False
8.182974,2,2878.505931,True,False,True,0.0013391232754053212,2.4796723839835875,,True
8.516823,2,2880.792527,True,False,True,0.004742915807222477,3.4529067868712673,,False
9.4435,1,2881.908233,True,False,True,0.004213252269129563,0.8487067733854896,,False
6.610392,3,2884.753987,True,False,True,0.0051252166047228015,6.027733579973671,,True
8.249486,1,2885.905624,True,False,True,5.8964644876650616e-12,2.9997705078027765,,True
8.181449,4,2890.238697,True,False,True,0.005759732085335992,1.336123641063378,,False
9.138252,2,2892.045457,True,False,True,0.003342440651440695,1.1169184375415844,,False
9.343638,1,2893.281507,True,False,True,8.277714902416022e-10,1.0234284433526377,,False
7.230728,3,2896.152429,True,False,True,0.002461557670943119,3.1315279226417374,,True
8.884323,1,2897.920511,True,False,True,0.001493764246292651,1.8554878531646795,,False
4.787327,1,2899.016321,True,False,True,0.002460504454935057,9.252799808627117,,False
6.162638,2,2900.69035,True,False,True,0.007356155223456581,4.625091794817283,,False
9.908139,1,2901.836415,True,False,True,2.225963905528141e-11,0.0025781354605878205,,False
9.908332,1,2903.58407,True,False,True,1.7755290293575143e-10,0.0025648392005314454,,True
-24.032872,60,2946.359309,False,False,True,0.01172076487102943,64.2602389297972,,False
7.732414,4,2948.178071,True,False,True,0.0030355332880650705,2.864727979533403,,False
1.616717,12,2957.844048,True,False,True,0.0004953757082900888,14.282759216272282,,False
6.523364,3,2961.767995,True,False,True,6.013016943086716e-10,4.2415744381264515,,False
