r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr,cum_timesteps,d_mm
2.502586,2,4226.041461,True,False,True,0.0005679507529464,13.378635076268733,,False,24439,0.5679507529464
9.768501,2,4227.358469,True,False,True,1.9300822747547984e-10,0.0798595732048154,,False,24441,1.9300822747547983e-07
7.442515,3,4227.384618,True,False,True,1.1165341828184293e-10,3.0000396237239664,,False,24444,1.1165341828184293e-07
-25.347056,60,4228.673073,False,False,True,0.000562792377301,17.23490882707639,,False,24504,0.5627923773010001
6.227141,1,4228.70667,True,False,True,0.0005013244568386,6.652740947255721,,False,24505,0.5013244568385999
8.032449,2,4230.061439,True,False,True,0.0060497661665601,3.2329607170548265,,False,24507,6.0497661665601
8.249752,1,4230.08759,True,False,True,4.4794699199934835e-10,2.999976587807592,,False,24508,4.4794699199934835e-07
9.908065,1,4231.467567,True,False,True,1.8750445535022083e-11,0.0025628997912994,,True,24509,1.8750445535022083e-08
8.754968,1,4232.719518,True,False,True,5.960327341411582e-12,2.0867175540509275,,True,24510,5.960327341411582e-09
8.791086,2,4232.74667,True,False,True,0.0052110034418813,1.860707228686649,,False,24512,5.2110034418813
3.060796,4,4234.125569,True,False,True,0.0003105119613017,11.278506627360048,,False,24516,0.3105119613017
5.162402,1,4234.166287,True,False,True,1.0786102340644248e-05,8.573963481222604,,False,24517,0.010786102340644248
8.092325,1,4235.580633,True,False,True,0.0028189386742824,3.287608565789557,,False,24518,2.8189386742824
2.148988,1,4236.865333,True,False,True,0.0104611290218038,14.01597814010656,,False,24519,10.4611290218038
2.37396,4,4238.037642,True,False,True,0.0025506194294975,11.545080229334202,,True,24523,2.5506194294975
5.998955,5,4238.04516,True,False,True,0.0005552322957254,5.92163543912571,,False,24528,0.5552322957254
8.364297,2,4238.071305,True,False,True,0.0049970787507968,2.6525945356967178,,False,24530,4.9970787507968
9.434757,1,4239.581022,True,False,True,0.0027277757798646,0.8588303370411496,,False,24531,2.7277757798646
5.50779,2,4240.746204,True,False,True,0.0002287923354321,7.120973415271647,,True,24533,0.2287923354321
5.169204,2,4240.756702,True,False,True,0.0060117076420902,7.785075147115206,,False,24535,6.0117076420902
7.628271,1,4243.774226,True,False,True,0.0023105459235139,4.123930569276938,,False,24536,2.3105459235139003
9.908582,1,4243.780745,True,False,True,1.0426173431480954e-09,0.002562471851857,,False,24537,1.0426173431480953e-06
8.622254,1,4245.016491,True,False,True,0.0109064099373873,2.338889881826514,,False,24538,10.9064099373873
8.865793,3,4245.048151,True,False,True,0.0030755315686977,1.8306083765326424,,False,24541,3.0755315686977
7.536528,2,4246.352516,True,False,True,0.0002912765941854,4.133476960752042,,False,24543,0.2912765941854
9.32272,1,4246.379668,True,False,True,6.434962285251089e-11,1.0563073625582726,,True,24544,6.434962285251089e-08
8.95151,1,4247.650054,True,False,True,0.0056346548519643,1.7373823616367157,,False,24545,5.634654851964299
7.61379,1,4247.675208,True,False,True,4.162363365145961e-05,4.148663925486786,,False,24546,0.04162363365145961
8.760427,3,4248.980434,True,False,True,0.0042782056535077,0.8603897204709857,,False,24549,4.2782056535077
9.832242,1,4248.991927,True,False,True,0.0013238931555941,0.1395924295158963,,False,24550,1.3238931555940998
7.513182,2,4250.320396,True,False,True,2.2777585334799438e-10,3.000001837670041,,False,24552,2.277758533479944e-07
7.424906,2,4251.473503,True,False,True,1.1384968839438422e-10,3.965971038999005,,True,24554,1.1384968839438421e-07
6.378462,2,4251.482022,True,False,True,0.0038561885418926,5.317519851344925,,False,24556,3.8561885418926
7.299794,1,4252.827231,True,False,True,9.348784533076691e-05,4.715403623387704,,False,24557,0.09348784533076691
8.883165,1,4252.830474,True,False,True,0.0021488834860246,1.8583991109571432,,False,24558,2.1488834860246
1.264146,2,4252.866142,True,False,True,0.0003401876029616,15.197237833027724,,False,24560,0.3401876029616
7.811472,1,4254.274054,True,False,True,0.0003496083509018,3.790921943309874,,False,24561,0.34960835090180004
7.060194,1,4254.310721,True,False,True,0.0004037429109933,5.148717355640129,,False,24562,0.4037429109933
2.275675,1,4255.669203,True,False,True,2.7232716949543434e-10,13.781489827723489,,False,24563,2.7232716949543434e-07
9.908563,1,4256.908201,True,False,True,7.477274485342966e-11,0.0025978819742875,,True,24564,7.477274485342966e-08
7.426472,3,4258.072506,True,False,True,0.0023978485002133,3.937897861763882,,False,24567,2.3978485002133003
9.492905,1,4258.110194,True,False,True,1.0645671925513592e-05,0.7538747860264273,,False,24568,0.010645671925513592
5.734732,1,4259.491691,True,False,True,0.0041597113793474,7.544460437158747,,False,24569,4.159711379347399
7.48875,1,4259.527352,True,False,True,0.0049852959434407,4.374046251110862,,True,24570,4.9852959434407005
8.988687,1,4260.928563,True,False,True,0.0023018869805543,1.6674494892597325,,False,24571,2.3018869805543
7.505998,1,4262.115385,True,False,True,0.0056220708729125,4.348768405285915,,False,24572,5.6220708729124995
5.665388,1,4263.397242,True,False,True,5.624056537821293e-05,7.666260983471253,,False,24573,0.05624056537821293
7.6487,1,4264.670588,True,False,True,2.457983278049391e-11,4.084881613174666,,False,24574,2.457983278049391e-08
8.320854,1,4265.963276,True,False,True,5.870194424492907e-11,2.8682177538563165,,True,24575,5.870194424492907e-08
4.903978,1,4267.235242,True,False,True,0.0024103143477452,9.042294773059965,,False,24576,2.4103143477452
5.446847,1,4268.482104,True,False,True,0.0057991430192077,8.065572567086083,,False,24577,5.7991430192077
-27.668736,60,4268.529715,False,False,True,0.0153091836735638,14.588144729289183,,False,24637,15.309183673563801
1.93776,1,4269.625102,True,False,True,2.3938479670748688e-11,14.390862783808316,,False,24638,2.3938479670748688e-08
6.588464,1,4269.661211,True,False,True,3.617196266783567e-09,5.999979564816039,,True,24639,3.617196266783567e-06
4.659684,1,4271.025177,True,False,True,0.0093862962420444,9.488207399482736,,False,24640,9.3862962420444
5.131251,2,4272.258105,True,False,True,0.0004550226637305,8.496706316994898,,False,24642,0.4550226637305
8.313512,1,4273.562942,True,False,True,0.0007121205541836,2.880594999972862,,False,24643,0.7121205541836
5.460195,3,4274.811459,True,False,True,0.0007590989813502,6.957461596116096,,False,24646,0.7590989813502
8.037171,13,4276.100226,True,False,True,0.0002407816266218,2.251681037669261,,False,24659,0.2407816266218
5.185481,2,4277.299193,True,False,True,0.0025357885850971,8.402179248803085,,False,24661,2.5357885850971
7.783165,3,4277.345318,True,False,True,0.0060749769315793,2.943935601879692,,False,24664,6.0749769315793
7.094222,3,4278.690312,True,False,True,0.0016266137822638,4.669639815416742,,True,24667,1.6266137822638
10.337322,4,4278.726979,True,False,True,0.0006744623707726,1.862179874968704,,False,24671,0.6744623707726001
8.734152,3,4278.740415,True,False,True,0.0028984106969019,1.8223747970252075,,False,24674,2.8984106969019
2.402703,1,4280.14143,True,False,True,2.530290400815094e-09,13.552407583773237,,True,24675,2.530290400815094e-06
9.839818,1,4280.152862,True,False,True,2.203991435537067e-09,0.126856782831376,,False,24676,2.203991435537067e-06
8.05379,1,4281.550301,True,False,True,1.889502415523761e-05,3.353963663349933,,False,24677,0.018895024155237607
6.768652,3,4282.786638,True,False,True,8.366855936258605e-07,4.22218221720072,,False,24680,0.0008366855936258605
7.863645,3,4284.054975,True,False,True,0.0002431664424929,3.3706692520314103,,False,24683,0.2431664424929
7.386399,2,4284.064431,True,False,True,0.0060643507029868,4.424263874754569,,False,24685,6.0643507029868005
6.405063,1,4285.454748,True,False,True,0.0011167239040423,6.331750607178694,,False,24686,1.1167239040423
7.456559,2,4286.762819,True,False,True,1.685444287670624e-12,4.284396415547272,,False,24688,1.685444287670624e-09
6.860068,1,4286.769819,True,False,True,0.010064868941351,5.514583901462897,,False,24689,10.064868941351
9.908329,1,4288.110807,True,False,True,7.467701414601333e-11,0.0025623516632546,,True,24690,7.467701414601332e-08
7.140389,1,4288.114239,True,False,True,0.0085675581535133,5.011601278166732,,False,24691,8.5675581535133
2.912434,3,4289.550199,True,False,True,9.52715472783e-06,12.1905972291985,,True,24694,0.00952715472783
8.913314,1,4290.839458,True,False,True,0.0036212691452012,1.8047995467035136,,False,24695,3.6212691452012
7.293514,2,4292.07483,True,False,True,2.343524990758468e-06,4.581371383246131,,False,24697,0.002343524990758468
-1.398093,6,4293.439112,True,False,True,0.0049119645641206,15.867350733019974,,False,24703,4.911964564120599
8.170638,1,4294.617186,True,False,True,0.0005629080477359,3.1430178470854275,,False,24704,0.5629080477359
4.889032,1,4295.827182,True,False,True,0.0037938907599811,9.070369257677411,,False,24705,3.7938907599811
-3.375875,19,4297.08649,True,False,True,0.0047782895972495,14.39274752417364,,False,24724,4.7782895972495
2.082557,1,4297.129604,True,False,True,0.0034981136375092,14.13189257673151,,False,24725,3.4981136375092
9.807381,1,4298.444555,True,False,True,1.8384633052037638e-10,0.1809854825756024,,False,24726,1.8384633052037638e-07
9.907248,1,4298.48766,True,False,True,1.1138894512773649e-11,0.0025627591437798,,False,24727,1.113889451277365e-08
6.974968,1,4299.828768,True,False,True,0.0059241046707251,5.308094281416268,,False,24728,5.9241046707251
6.944611,2,4301.061473,True,False,True,0.0045797818033704,3.816560844162546,,False,24730,4.5797818033704
-4.568893,11,4302.467898,True,False,True,0.0084099110557228,5.635272674218173,,False,24741,8.4099110557228
9.908138,1,4303.764552,True,False,True,2.405120261373851e-10,0.0025623459737135,,False,24742,2.4051202613738506e-07
4.938429,1,4305.041388,True,False,True,1.3345598567459195e-10,8.978122458050574,,False,24743,1.3345598567459194e-07
9.29607,1,4306.43177,True,False,True,5.266952013416315e-10,1.1043071454753697,,False,24744,5.266952013416315e-07
-30.80487,60,4306.44729,False,False,True,0.0194204994634759,76.59174963613816,,True,24804,19.420499463475903
8.278087,1,4307.685,True,False,True,5.921827351401676e-09,2.948793338950256,,True,24805,5.921827351401676e-06
9.893304,1,4307.693521,True,False,True,0.0001480011666593,0.0303928260413211,,False,24806,0.1480011666593
5.266487,1,4309.030717,True,False,True,0.0004513913678169,8.38651832172657,,False,24807,0.4513913678169
8.06666,1,4309.035235,True,False,True,1.5149516363610616e-10,3.326824071038084,,False,24808,1.5149516363610616e-07
9.153533,1,4310.4177,True,False,True,0.0087925892786289,1.3779033384690156,,False,24809,8.792589278628899
6.632397,1,4310.426209,True,False,True,0.0051615193226477,5.925682289070934,,False,24810,5.1615193226477
7.657112,1,4311.770958,True,False,True,0.0002702096652946,4.070298348343335,,True,24811,0.2702096652946
7.614618,2,4313.12543,True,False,True,3.964807107625923e-09,2.877823468048017,,False,24813,3.964807107625923e-06
8.305202,3,4313.125957,True,False,True,0.005291900593184,1.7530986389535494,,False,24816,5.291900593184
9.908486,1,4314.340901,True,False,True,4.612774493599364e-10,0.0025754128388209,,False,24817,4.6127744935993635e-07
8.856189,2,4315.578934,True,False,True,0.0047579737970365,1.622117303011534,,False,24819,4.7579737970365
0.648453,12,4317.127409,True,False,True,0.0038981063564179,6.260791582429135,,False,24831,3.8981063564179
3.676236,2,4318.250409,True,False,True,0.009803606716809,10.701850516228465,,False,24833,9.803606716809
-9.375957,18,4319.540804,True,False,True,0.0093413409713124,4.400155106073544,,False,24851,9.3413409713124
8.525265,1,4320.828466,True,False,True,0.0056616961087921,2.50527754997446,,False,24852,5.6616961087921
-14.304027,39,4320.855963,True,False,True,0.0018791342372558,12.92087597033086,,False,24891,1.8791342372558
8.216811,1,4322.262267,True,False,True,0.0058912695326241,3.0661994191517614,,False,24892,5.891269532624101
3.900673,2,4323.514442,True,False,True,0.0001181737321808,8.418573625185225,,False,24894,0.1181737321808
-40.522365,60,4323.539591,False,False,True,0.0266890537082618,27.324461861393704,,False,24954,26.689053708261802
7.608414,1,4324.922492,True,False,True,0.0033590700636882,4.161304819761432,,False,24955,3.3590700636882
6.253667,1,4324.949643,True,False,True,0.0047933097245524,6.608862002228764,,True,24956,4.7933097245524
8.11153,4,4324.95608,True,False,True,0.0023841694866492,2.5881522660205456,,False,24960,2.3841694866492
8.232212,1,4326.339177,True,False,True,0.0002082654445763,3.029384667769974,,False,24961,0.2082654445763
