#{"t_start": 1785430954.8283203, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
-9.241994,127,917.207466,True,False,True,0.022167028012881805,69.5251767999811,,False
-7.085391,121,931.03924,True,False,True,0.0826143376979383,85.73593570706807,,False
-6.636632,121,944.64003,True,False,True,0.08970357072076773,79.47026406299216,,False
-11.413608,123,958.261197,True,False,True,0.06966531132566112,88.94148272492762,,False
-13.029967,129,972.238413,True,False,True,0.05505911400992461,80.88962544125457,,False
-8.703472,121,987.520915,True,False,True,0.08879069066908653,61.23891545257428,,False
-12.468016,129,1001.79264,True,False,True,0.03855850772053019,89.91143605694997,,False
-9.696844,121,1017.070143,True,False,True,0.0515415827602339,66.94944636500327,,False
-10.458244,124,1030.869778,True,False,True,0.09079433842991085,78.60210332226474,,False
-7.262195,121,1046.38352,True,False,True,0.03302481861262255,88.26162045814766,,False
-9.096071,121,1060.036062,True,False,True,0.06820755198483071,68.51587674446752,,True
-7.911837,121,1075.3043,True,False,True,0.10566947275179661,80.67717148747799,,False
-9.867281,121,1089.178382,True,False,True,0.0778532819417902,71.34951254244186,,False
-11.797726,121,1104.391532,True,False,True,0.10772891366945274,84.24772362137959,,False
-7.338918,121,1118.111641,True,False,True,0.08015790254680269,83.6869769508702,,False
-7.653125,121,1133.47733,True,False,True,0.0816016566708589,73.03598124689792,,False
-8.339437,121,1147.401499,True,False,True,0.05874312041693219,68.99279530340151,,True
-10.811356,122,1162.702276,True,False,True,0.03663049620124868,75.46591105735081,,False
-8.707368,121,1176.476424,True,False,True,0.03015807147744486,60.741657986677474,,False
-8.875676,124,1191.937085,True,False,True,0.08784742517727971,83.8737428838646,,False
-7.618627,122,1205.81828,True,False,True,0.06729323435857425,86.63243808653242,,True
-7.68698,121,1221.005835,True,False,True,0.004092422286957373,68.80518646606934,,False
-8.580449,121,1235.012474,True,False,True,0.039937701558943085,76.92137320681098,,False
-9.13315,121,1248.791407,True,False,True,0.08150732304120627,80.44052485802449,,True
-9.805466,122,1264.325396,True,False,True,0.006073109925121244,45.82922686436531,,False
-8.461284,121,1278.025755,True,False,True,0.05182832072241794,84.03649426877627,,False
-9.170102,121,1293.430033,True,False,True,0.02729845071741372,80.34476188904647,,False
-8.396061,121,1307.091743,True,False,True,0.049639015966120456,74.92037276010976,,False
