#{"t_start": 1785430954.9135122, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
-6.588653,124,671.052582,True,False,True,0.07569644627850494,77.57433875411525,,False
-8.376897,126,687.308718,True,False,True,0.07206646692824065,85.21130945082662,,False
-9.52449,121,701.01967,True,False,True,0.045312181821212674,76.98839240857079,,False
-10.858719,125,716.819705,True,False,True,0.04288195698060131,74.79528969099685,,False
-8.764457,121,730.566093,True,False,True,0.09827746982744986,89.92568634220258,,False
-7.251348,123,746.066068,True,False,True,0.08984080601652655,84.5502682266734,,False
-7.745194,132,760.140385,True,False,True,0.08114789943398186,80.33061750764672,,False
-7.537921,123,775.291894,True,False,True,0.04186549608795386,77.89139610501583,,False
-7.25211,121,788.9634,True,False,True,0.06801973566007069,74.7661901502992,,False
-8.724757,122,804.74352,True,False,True,0.04627690626245076,89.03041054719242,,True
-11.016785,129,816.657439,True,False,True,0.04639346326207184,87.84504023987505,,False
-10.182443,123,832.211212,True,False,True,0.01076155082751857,80.93061712355012,,False
-6.614859,121,847.224033,True,False,True,0.03782280460637799,89.42107740858964,,True
-8.114941,124,864.44303,True,False,True,0.10612784811308244,88.12687393578032,,False
-7.054381,124,878.812713,True,False,True,0.07120855981320237,70.08013771395373,,False
-12.024843,122,894.078043,True,False,True,0.011512571843486617,89.91459727124887,,False
-8.551026,122,908.010401,True,False,True,0.05374551907831096,71.34095073208836,,False
-7.306696,121,923.357178,True,False,True,0.06915646672190429,82.37820806960504,,False
-8.577341,122,937.197863,True,False,True,0.034875490611280036,88.88710496747696,,False
-7.524801,124,952.867356,True,False,True,0.12427402078220073,86.05513539858347,,True
-8.70907,121,966.679249,True,False,True,0.058516209164894764,81.11691706378745,,True
-10.06776,121,982.001777,True,False,True,0.0661044533245873,82.90884909512292,,False
-6.838026,122,993.641619,True,False,True,0.09919696457319818,83.01114734073369,,False
-7.392587,126,1011.52365,True,False,True,0.04501600691493445,86.35767662010537,,False
-9.245339,124,1025.225312,True,False,True,0.03817385438591123,85.11282027256853,,False
-7.463285,121,1038.372362,True,False,True,0.09144555506973596,88.05523334951432,,False
-7.389141,123,1052.424668,True,False,True,0.055664006845305605,80.98668615515082,,False
-8.646185,121,1066.059353,True,False,True,0.08273034713478095,66.93171204927125,,False
-7.340662,121,1081.411525,True,False,True,0.08159394347944969,64.49366206643565,,True
-10.873459,121,1095.05643,True,False,True,0.023828241357742624,68.96105914636911,,False
-8.541781,121,1110.354491,True,False,True,0.027095789335600372,84.95652514826067,,False
-9.302064,122,1124.050227,True,False,True,0.02945435395697292,72.21598154832523,,False
-7.766802,121,1139.558185,True,False,True,0.039074650232688524,69.15637648930691,,False
-11.625547,121,1153.241263,True,False,True,0.09357096300488343,82.66670643138661,,False
-6.474878,121,1168.623895,True,False,True,0.07629444812963612,84.44097780066906,,False
-8.383664,122,1182.428404,True,False,True,0.09103999113526702,85.24399475999587,,True
-7.236041,122,1197.795226,True,False,True,0.11199227309697761,83.93286026481267,,False
-8.464572,123,1211.621905,True,False,True,0.04826997507314693,74.95682005706463,,False
-8.17423,123,1227.209694,True,False,True,0.09141421115185366,84.08676788462643,,False
-10.173825,121,1241.141227,True,False,True,0.04687871654194603,80.46105033184305,,False
-7.946489,121,1256.360634,True,False,True,0.017458095620039294,87.4837957469586,,True
-9.601811,121,1270.236689,True,False,True,0.03441299320217818,70.52475409829438,,False
-6.628413,121,1285.525506,True,False,True,0.04547390118957617,61.87658373655642,,False
-9.382782,122,1299.419551,True,False,True,0.09489643997174418,87.96131385607303,,False
