r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr,cum_timesteps,d_mm
-17.873893,129,106.884318,True,False,True,0.0306305292866989,85.58007700618856,,False,3349,30.630529286698902
-41.382394,180,110.06573,False,False,True,0.0341266816290293,88.7432620330902,,False,3529,34.1266816290293
-25.833548,154,112.723247,True,False,True,0.0104707428119489,83.80329340892426,,False,3683,10.4707428119489
-31.677036,180,115.937742,False,False,True,0.0635498602522698,83.33671847693175,,True,3863,63.5498602522698
-23.611962,145,123.694614,True,False,True,0.0668114416716941,80.5745608655758,,False,4008,66.8114416716941
-23.652655,139,126.727922,True,False,True,0.0926048574277789,82.90343508336737,,False,4147,92.6048574277789
-41.5969,180,130.899424,False,False,True,0.0907914994174704,87.60471697054167,,True,4327,90.7914994174704
-38.673912,180,134.078593,False,False,True,0.1175651445116666,78.64817532836246,,False,4507,117.56514451166659
-20.277658,132,138.932204,True,False,True,0.0847001469831204,72.02351658250971,,False,4639,84.70014698312039
-19.803398,160,141.845753,True,False,True,0.0072387868350021,85.65206981456011,,False,4799,7.2387868350021005
-15.194414,150,148.553504,True,False,True,0.0945150267552678,86.97582290246632,,False,4949,94.5150267552678
-31.521451,180,151.43394,False,False,True,0.0571109086857333,83.82947243407067,,False,5129,57.1109086857333
-19.764562,123,154.927896,True,False,True,0.0244089881001593,81.12331196757961,,False,5252,24.408988100159302
-10.5661,122,157.648537,True,False,True,0.0230313496541005,80.1310771267474,,False,5374,23.0313496541005
-12.989609,147,163.928303,True,False,True,0.0255262438770401,89.1707832812938,,False,5521,25.526243877040102
-16.466761,122,166.776014,True,False,True,0.0759680902831218,84.03117142677604,,False,5643,75.96809028312181
-39.080092,180,169.62158,False,False,True,0.1189570111966171,86.1566836265243,,True,5823,118.9570111966171
-38.293658,180,175.31963,False,False,True,0.098028957834246,84.70752647383895,,False,6003,98.028957834246
-13.386713,133,180.506227,True,False,True,0.0180725430287406,69.27824574134405,,True,6136,18.0725430287406
-7.677087,122,180.593039,True,False,True,0.1046371537942405,76.54595724760557,,True,6258,104.6371537942405
-13.228232,135,188.348547,True,False,True,0.0267050621557408,75.84461516607819,,False,6393,26.7050621557408
-27.816769,180,194.164951,False,False,True,0.0933162636412391,82.25899184570936,,False,6573,93.3162636412391
-13.082367,121,205.76414,True,False,True,0.0809627790688045,89.3723902313282,,True,6694,80.96277906880451
-15.28681,131,212.853395,True,False,True,0.0780115825858039,87.1260476467321,,False,6825,78.01158258580391
-11.937957,128,227.09386,True,False,True,0.0525997635577536,87.14285927363764,,False,6953,52.599763557753604
-18.715767,142,232.912688,True,False,True,0.0419037194269084,80.25203893492336,,False,7095,41.9037194269084
-11.986351,124,238.650939,True,False,True,0.0195944982354671,83.50644434576175,,False,7219,19.5944982354671
-10.94849,124,243.768993,True,False,True,0.0435536631064651,88.64548347260654,,False,7343,43.5536631064651
-10.383402,129,251.009466,True,False,True,0.0115887774495718,88.13490275225233,,False,7472,11.5887774495718
-17.201018,131,255.410091,True,False,True,0.0620288536400414,89.8108487139232,,False,7603,62.0288536400414
