time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss
1799,107520,106.03655023000002,60.0,210,59,2090,0.2,-0.005864020716398954,0.0003,0.0049716197,110.0286358833313,0.8294358551502228,27.526763916015625,0.0599609375,-1.4165221616625785
1807,108032,98.11042957,60.0,211,59,2100,0.2,-0.00567910157260485,0.0003,0.009091305,210.35253562927247,0.691967785358429,70.73051452636719,0.0701171875,-1.5228246420621872
1815,108544,106.092854,60.0,212,59,2110,0.2,-0.008794916473561898,0.0003,0.0058285645,168.84539337158202,0.8127015680074692,46.7094841003418,0.0486328125,-1.5151932954788208
1823,109056,102.65179887000002,60.0,213,59,2120,0.2,-0.004662874015048146,0.0003,0.0044668796,1186.8432907104493,0.26227593421936035,370.6907958984375,0.0185546875,-1.525746163725853
1831,109568,96.8117932,60.0,214,59,2130,0.2,-0.005833967309445143,0.0003,0.008820415,371.8282232284546,0.6550330221652985,178.36866760253906,0.0802734375,-1.6050979420542717
1839,110080,91.85963501,60.0,215,59,2140,0.2,-0.006281787535408511,0.0003,0.011526849,163.28413672447203,0.5380259454250336,56.967098236083984,0.079296875,-1.711674502491951
1847,110592,79.35613206,60.0,216,59,2150,0.2,-0.00998720612260513,0.0003,0.009012086,81.76143260002137,0.7571855783462524,19.426252365112305,0.069140625,-1.7272088453173637
1855,111104,77.11719565,60.0,217,59,2160,0.2,-0.00591489071957767,0.0003,0.01369955,64.17226552963257,0.8338750451803207,21.88094711303711,0.1298828125,-1.8268151894211768
1863,111616,73.97237056000002,60.0,218,59,2170,0.2,-0.012222556193592027,0.0003,0.012287285,33.09879367351532,0.7136188447475433,7.505412578582764,0.159765625,-1.9157637119293214
1871,112128,75.13934461,60.0,219,59,2180,0.2,-0.01678825881681405,0.0003,0.015629772,269.7013027191162,0.4278467297554016,106.50852966308594,0.103125,-1.8473533302545548
1879,112640,76.41345071999999,60.0,220,59,2190,0.2,-0.016760476178023963,0.0003,0.011367533,92.00844774246215,0.8099956512451172,28.769468307495117,0.098046875,-1.7160993069410324
1887,113152,75.53552180000001,60.0,221,59,2200,0.2,-0.003116188390413299,0.0003,0.0068615642,267.5839715957642,0.4283936023712158,92.7170639038086,0.014453125,-1.7898196518421172
1895,113664,75.23651108000001,60.0,222,59,2210,0.2,-0.010532842221437022,0.0003,0.0084974365,282.43215103149413,0.47649240493774414,108.87828826904297,0.07421875,-1.797184082865715
1903,114176,72.15012667,60.0,223,59,2220,0.2,-0.010395227489061654,0.0003,0.00892758,198.54252853393555,0.43179935216903687,79.43927001953125,0.07578125,-1.7904505148530006
1911,114688,70.63419583,60.0,224,59,2230,0.2,-0.013177762826671824,0.0003,0.010340093,195.82175874710083,0.6773880422115326,68.0102310180664,0.07421875,-1.675525325536728
1920,115200,69.83643237,60.0,225,59,2240,0.2,-0.00987049617106095,0.0003,0.005273753,355.84995765686034,0.4628913402557373,181.62550354003906,0.0279296875,-1.5952010095119475
1928,115712,76.58494896,60.0,226,59,2250,0.2,-0.0070579164399532605,0.0003,0.0040290253,346.31309871673585,0.5744507312774658,95.1165542602539,0.01015625,-1.5900787904858589
1936,116224,76.82043922,60.0,227,60,2260,0.2,-0.001987756916787475,0.0003,0.004664909,420.3052713394165,0.582315057516098,178.53265380859375,0.0056640625,-1.6616931706666946
1944,116736,81.05771888999999,60.0,228,60,2270,0.2,-0.005363930255407467,0.0003,0.0051769307,238.0640679359436,0.6325763165950775,78.5344009399414,0.0373046875,-1.7303158894181252
1952,117248,86.70547411,60.0,229,60,2280,0.2,-0.012283819221192972,0.0003,0.007943122,164.40870571136475,0.7917177528142929,57.73288345336914,0.0591796875,-1.7314006134867668
1960,117760,87.68774647999999,60.0,230,60,2290,0.2,-0.011444206879241392,0.0003,0.0071048522,123.75217027664185,0.7482443451881409,42.190914154052734,0.056640625,-1.6666198760271071
1968,118272,87.78753096,60.0,231,60,2300,0.2,-0.012717506551416591,0.0003,0.008848384,312.99774112701414,0.5800724923610687,105.54071807861328,0.0673828125,-1.5621433913707734
1976,118784,90.80778924999998,60.0,232,60,2310,0.2,-0.006029371084878221,0.0003,0.00452614,382.5520210266113,0.6494392454624176,125.38735961914062,0.0248046875,-1.5476710930466653
1985,119296,94.31174218999999,60.0,233,60,2320,0.2,-0.006181984965223819,0.0003,0.010157075,354.35832500457764,0.678883820772171,146.98008728027344,0.0140625,-1.5747443571686746
1993,119808,95.67424989000001,60.0,234,60,2330,0.2,-0.004557540648966097,0.0003,0.0048002494,220.30954608917236,0.7646859586238861,89.75791931152344,0.038671875,-1.53360675573349
2001,120320,94.38410914999997,60.0,235,60,2340,0.2,-0.008845268486766145,0.0003,0.012289531,130.75627508163453,0.8424650281667709,42.69575119018555,0.1232421875,-1.6024955943226815
2009,120832,90.58547048999999,60.0,236,60,2350,0.2,-0.010250541171990335,0.0003,0.006566143,270.8039388656616,0.6201056838035583,101.1900863647461,0.03515625,-1.5798850446939467
2017,121344,91.45722839000001,60.0,237,60,2360,0.2,-0.011313441174570471,0.0003,0.0072499644,123.16462659835815,0.8460499942302704,39.16357421875,0.0583984375,-1.5626046746969222
2025,121856,92.92545055000001,60.0,238,60,2370,0.2,-0.009040074679069221,0.0003,0.0076829894,352.3951343536377,0.5705183148384094,140.1742401123047,0.01640625,-1.5378500461578368
2033,122368,98.47279423999998,60.0,239,60,2380,0.2,-0.0038307472015731035,0.0003,0.005175062,258.51241235733033,0.6770315766334534,83.23577117919922,0.0259765625,-1.5309513196349145
