time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss
125,1772,0.43886666666666685,84,-0.040788559523809456,19.297619047619047,14,98,0.001,0.2885727882385254
129,1788,0.4338000000000002,88,-0.005884636363636372,19.147727272727273,13,99,0.001,0.32934027910232544
134,1844,0.4160666666666667,92,-0.15013153260869563,19.782608695652176,13,103,0.001,0.11970669031143188
142,1920,0.392,96,0.1409244166666667,19.364583333333332,13,107,0.001,0.45534616708755493
148,1968,0.37680000000000013,100,0.35686276,18.71,13,110,0.001,0.2735723555088043
154,2028,0.35780000000000023,104,0.004304450000000095,19.28,13,114,0.001,0.19084680080413818
161,2192,0.30586666666666673,108,0.04561233999999999,19.66,13,124,0.001,0.20218399167060852
167,2296,0.27293333333333336,112,-1.12503217,21.07,13,131,0.001,0.38649284839630127
173,2440,0.2273333333333335,116,-0.8921126500000001,21.34,14,140,0.001,0.2873547077178955
178,2492,0.21086666666666665,120,-0.9159928100000001,21.77,13,143,0.001,0.3771584630012512
185,2648,0.16146666666666687,124,-0.7557093600000002,22.43,14,153,0.001,0.3343464136123657
191,2776,0.12093333333333312,128,-0.55338722,22.48,14,161,0.001,0.4493849277496338
198,2956,0.06393333333333318,132,-0.91736645,23.97,14,172,0.001,0.22564521431922913
206,3196,0.05,136,-0.9461993100000001,24.86,15,187,0.001,0.23189909756183624
214,3256,0.05,140,-0.9160622799999999,24.84,15,191,0.001,0.22736990451812744
223,3396,0.05,144,-1.0165396500000003,24.66,15,200,0.001,0.4025460481643677
240,3636,0.05,148,-1.3970519600000002,26.21,15,215,0.001,0.17734095454216003
252,3828,0.05,152,-2.1031151200000004,26.18,15,227,0.001,0.456256240606308
268,4036,0.05,156,-2.46188458,27.71,15,240,0.001,0.16780482232570648
279,4276,0.05,160,-2.7699702300000006,28.85,15,255,0.001,0.08352915942668915
288,4516,0.05,164,-3.2263141400000013,30.99,15,270,0.001,0.19513501226902008
295,4696,0.05,168,-3.45360764,32.2,15,281,0.001,0.11914749443531036
303,4836,0.05,172,-3.4968156499999994,32.74,15,290,0.001,0.05263200402259827
311,5004,0.05,176,-3.7734071700000005,33.78,16,300,0.001,0.055240925401449203
319,5188,0.05,180,-4.031110979999999,34.77,16,312,0.001,0.21031750738620758
326,5280,0.05,184,-4.30867777,35.92,16,317,0.001,0.14472000300884247
334,5428,0.05,188,-4.36694638,36.5,16,327,0.001,0.17372900247573853
343,5528,0.05,192,-4.317470460000001,36.39,16,333,0.001,0.29981115460395813
352,5616,0.05,196,-4.49950589,36.63,15,338,0.001,0.05654366314411163
360,5776,0.05,200,-4.9212089400000005,38.32,16,348,0.001,0.21845121681690216
