r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
3.636264,20,67.763628,True,True,0.0041354382939185,8.315948386701576,634
-19.204857,60,69.507795,False,True,0.013739945469179,27.176911463424943,694
-18.472813,60,70.828834,False,True,0.0212913222498241,9.823941605440371,754
8.00656,3,72.187856,True,True,0.0081699324668886,3.6291892096611,757
0.30369,9,73.730078,True,True,0.0059884004804602,15.746197149345564,766
-13.369602,60,75.433876,False,True,0.011994243931214,29.433152790511095,826
1.056956,19,76.80953,True,True,6.068614218560087e-05,12.584153342734272,845
6.148802,7,78.021568,True,True,0.0057062727244659,5.379860401465454,852
6.102388,4,79.446399,True,True,0.0098860038617553,6.5718922706887,856
-15.824759,60,80.809276,False,True,0.0156786774832651,10.325420808728952,916
2.733284,22,82.411553,True,True,0.0063356748023568,9.534251503732754,938
-13.717074,60,84.517871,False,True,0.0169006870395267,19.018321228808976,998
7.531057,7,85.963642,True,True,0.0068115064840466,2.68891813095327,1005
1.50332,29,87.720102,True,True,0.0012661297728952,10.586394177489442,1034
6.178729,6,89.237242,True,True,0.0002995165416165,6.084998303672216,1040
2.954909,33,90.729856,True,True,0.0031047832245895,5.703894619877636,1073
5.114885,1,91.990465,True,True,0.0046728823722778,8.663592568880944,1074
3.119646,14,93.463727,True,True,0.0049930068664557,12.30570947791338,1088
-15.772328,60,94.843604,False,True,0.010613830492162,41.26303420616868,1148
4.344718,9,96.156116,True,True,0.000424392047567,9.008131432642102,1157
-1.656897,16,97.843512,True,True,0.0001685611242693,17.468147009465238,1173
-24.096672,60,99.322693,False,True,0.0299214937504128,12.688739294689588,1233
2.078453,9,100.915544,True,True,0.0007821282537104,13.567480187104335,1242
-0.560843,22,102.967889,True,True,0.0105585018554607,15.49455210400917,1264
-12.860954,60,104.199523,False,True,0.0130018276279238,80.0574971879351,1324
-14.456466,60,105.4974,False,True,0.013649465106856,7.956942580769113,1384
4.712295,11,106.969946,True,True,0.0036440446905649,7.426594165716521,1395
2.38358,2,108.237531,True,True,0.0002882804172497,12.965446625992652,1397
1.757656,5,109.642316,True,True,0.0083127588684387,12.767658193953368,1402
-16.981956,60,110.960646,False,True,0.0488969113803266,33.822271571846464,1462
8.406765,1,112.207902,True,True,0.0027961366416851,2.715689939713409,1463
5.636847,3,113.579971,True,True,0.0081838461057174,6.650433085713335,1466
8.757697,11,114.941091,True,True,0.0039177887309304,1.203309749290586,1477
1.64236,39,117.740196,True,True,0.0099715846388278,1.2844986523552708,1516
-2.062781,28,119.22472,True,True,0.0104931932384319,15.716658385154304,1544
-20.164109,60,120.810591,False,True,0.0332238433057736,88.50034924085155,1604
8.049671,2,122.060542,True,True,0.0001878124565953,2.65376825253624,1606
-1.89799,29,124.038531,True,True,0.0117814600626296,13.162385975374008,1635
