rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/clip_range,train/explained_variance
60.0,47104,92,-6.606439239999999,65,724,-2.1995935171842573,0.103515625,-0.019524579349672423,0.0003,0.013828255,910,0.05179364737123251,-0.12291215360164642,0.2,0.7583787441253662
60.0,47616,93,-6.632776999999997,65,731,-2.182107236981392,0.096484375,-0.01715075601823628,0.0003,0.010783148,920,0.012843015225371346,-0.15008611977100372,0.2,0.8332966864109039
60.0,48128,94,-6.63191653,65,739,-2.18458868265152,0.0400390625,-0.01355388737283647,0.0003,0.007715815,930,0.07266869200393558,-0.09707674384117126,0.2,0.6610291600227356
60.0,48640,95,-6.620148360000001,65,746,-2.1995756149291994,0.096484375,-0.01909774385858327,0.0003,0.011868972,940,0.10802398098167032,-0.07998844981193542,0.2,0.46360743045806885
60.0,49152,96,-6.624129040000001,65,754,-2.1797002464532853,0.1109375,-0.021192330110352486,0.0003,0.011162465,950,0.014670373522676528,-0.11062676459550858,0.2,0.8516754060983658
60.0,49664,97,-6.602210690000001,65,762,-2.13254771232605,0.112109375,-0.015751597902271895,0.0003,0.009493187,960,0.0620904759503901,-0.11810986697673798,0.2,0.6478758752346039
60.0,50176,98,-6.56798682,65,770,-2.0686326414346694,0.1173828125,-0.020981282141292468,0.0003,0.013232857,970,0.017525454866699874,-0.13046923279762268,0.2,0.8030674308538437
60.0,50688,99,-6.533794380000001,65,778,-2.119352173805237,0.076953125,-0.013445056322962046,0.0003,0.009690513,980,0.01692222513956949,-0.11708851158618927,0.2,0.8611112684011459
60.0,51200,100,-6.50230408,65,786,-2.084356164932251,0.093359375,-0.020553275721613317,0.0003,0.011599061,990,0.007391467608977109,-0.15460282564163208,0.2,0.9143316969275475
60.0,51712,101,-6.412193890000001,65,793,-1.9816384479403495,0.076171875,-0.014067070989403874,0.0003,0.008005859,1000,0.010868501622462645,-0.14115387201309204,0.2,0.8889512568712234
60.0,52224,102,-6.364976329999999,65,801,-1.8990367293357848,0.0734375,-0.014993595855776221,0.0003,0.010201507,1010,0.01486464641056955,-0.08510764688253403,0.2,0.8332838863134384
60.0,52736,103,-6.32133831,65,809,-1.8771918922662736,0.0712890625,-0.01575353667140007,0.0003,0.011953108,1020,0.02072415701113641,-0.08882404863834381,0.2,0.706402063369751
60.0,53248,104,-6.342473040000001,65,816,-2.040759950876236,0.102734375,-0.012595316860824823,0.0003,0.009974251,1030,0.019584192073671146,-0.11769217997789383,0.2,0.8106968253850937
60.0,53760,105,-6.288646529999999,65,825,-2.0049353912472725,0.1517578125,-0.021398916246835143,0.0003,0.017714798,1040,0.017013325844891368,-0.10802242904901505,0.2,0.7807358652353287
60.0,54272,106,-6.274629719999999,65,833,-1.962367658317089,0.1041015625,-0.020588448515627533,0.0003,0.0107921595,1050,0.014113633136730641,-0.11967061460018158,0.2,0.8656205832958221
60.0,54784,107,-6.240288470000001,65,841,-1.8697436287999154,0.1166015625,-0.02190599637106061,0.0003,0.016631829,1060,0.080908310925588,-0.09581170976161957,0.2,0.619652509689331
60.0,55296,108,-6.215717390000001,65,850,-1.7618884071707726,0.0783203125,-0.018931638880167155,0.0003,0.0074472628,1070,0.013779246609192341,-0.12316607683897018,0.2,0.7773466855287552
60.0,55808,109,-6.2352904,64,858,-1.789865691959858,0.0744140625,-0.01247785827727057,0.0003,0.012033935,1080,0.036355704395100476,-0.041831932961940765,0.2,0.42786604166030884
60.0,56320,110,-6.202972220000001,64,866,-1.8612748831510544,0.0783203125,-0.011364531063009053,0.0003,0.014053519,1090,0.01551338674617,-0.13719667494297028,0.2,0.80015829205513
60.0,56832,111,-6.211589980000001,64,874,-1.8952264070510865,0.14609375,-0.01885710068163462,0.0003,0.012170658,1100,0.015517178428126499,-0.1435907781124115,0.2,0.7519550323486328
60.0,57344,112,-6.210833080000001,65,882,-1.8333050087094307,0.1798828125,-0.018865751154953612,0.0003,0.015598809,1110,0.03380951161962002,-0.10395215451717377,0.2,0.6060944497585297
60.0,57856,113,-6.280650969999999,64,890,-1.9520582467317582,0.127734375,-0.014518860378302634,0.0003,0.012222374,1120,0.04236397424247116,-0.10668468475341797,0.2,0.6416330933570862
60.0,58368,114,-6.28640758,64,898,-2.0780280202627184,0.1474609375,-0.01692318144487217,0.0003,0.010941945,1130,0.04403924141079187,-0.0964987725019455,0.2,0.6370874345302582
60.0,58880,115,-6.30427509,64,907,-2.00100154876709,0.090234375,-0.015601447282824666,0.0003,0.013361659,1140,0.025416638725437223,-0.11918522417545319,0.2,0.7874226719141006
60.0,59392,116,-6.33920979,64,915,-2.0897123336791994,0.11171875,-0.01351976745063439,0.0003,0.0150711145,1150,0.06127167760860175,-0.09092938899993896,0.2,0.6733448207378387
60.0,59904,117,-6.33262739,64,923,-2.1147555142641066,0.1892578125,-0.0232878630165942,0.0003,0.015017099,1160,0.023515671235509218,-0.1424422562122345,0.2,0.8122258931398392
60.0,60416,118,-6.331048219999999,64,932,-2.120474120974541,0.129296875,-0.01972502125427127,0.0003,0.014065245,1170,0.006813813894405029,-0.12258133292198181,0.2,0.9261619970202446
60.0,60928,119,-6.36657036,64,941,-2.0598472595214843,0.17265625,-0.025176588166505098,0.0003,0.014225399,1180,0.0107008945022244,-0.15060308575630188,0.2,0.8752884268760681
60.0,61440,120,-6.393087949999999,64,951,-2.10226129591465,0.1240234375,-0.020378778467420488,0.0003,0.013112456,1190,0.021288883697707206,-0.12697403132915497,0.2,0.7410943806171417
60.0,61952,121,-6.39073809,64,961,-2.057103160023689,0.0904296875,-0.01985394432558678,0.0003,0.0109656835,1200,0.027965973783284425,-0.08452215790748596,0.2,0.7079439461231232
60.0,62464,122,-6.400903520000001,64,970,-1.9669306799769402,0.086328125,-0.016330732440110296,0.0003,0.0075406358,1210,0.04259705676231533,-0.10156118869781494,0.2,0.6787882149219513
60.0,62976,123,-6.3783028,64,978,-1.9632409706711769,0.1619140625,-0.025808659952599556,0.0003,0.014421106,1220,0.019637863500975072,-0.14751765131950378,0.2,0.7970814853906631
60.0,63488,124,-6.422423320000002,64,987,-1.9339234560728074,0.0796875,-0.009358064318075777,0.0003,0.011272645,1230,0.0758915115147829,-0.0656316801905632,0.2,0.643720269203186
60.0,64000,125,-6.429095160000002,64,995,-1.9511420220136642,0.055078125,-0.012378216366050765,0.0003,0.009051923,1240,0.02852247884729877,-0.1164495050907135,0.2,0.7127697467803955
60.0,64512,126,-6.4381844,64,1004,-2.0090464860200883,0.1396484375,-0.015796704695094376,0.0003,0.014605096,1250,0.0317827309248969,-0.08304086327552795,0.2,0.6813624799251556
60.0,65024,127,-6.3698541199999985,64,1012,-2.0098266884684564,0.0833984375,-0.016034711431711913,0.0003,0.0124991,1260,0.03184379560407251,-0.10352148860692978,0.2,0.6380075514316559
60.0,65536,128,-6.3735816199999995,64,1020,-1.9486587315797805,0.11015625,-0.019567495479714127,0.0003,0.012777359,1270,0.01381633552373387,-0.10265002399682999,0.2,0.8099139034748077
60.0,66048,129,-6.373205380000001,64,1029,-1.985872681438923,0.0900390625,-0.013293531438102945,0.0003,0.011659525,1280,0.07474451581947505,-0.0779246985912323,0.2,0.6411792933940887
60.0,66560,130,-6.3738978899999985,64,1036,-1.9694062992930412,0.0734375,-0.01622756546130404,0.0003,0.009113418,1290,0.015349826484452933,-0.10050558298826218,0.2,0.8723402172327042
60.0,67072,131,-6.359714739999999,64,1044,-2.0339732632040977,0.1162109375,-0.01769428326515481,0.0003,0.013017665,1300,0.059394729882478715,-0.12165479362010956,0.2,0.6944065392017365
60.0,67584,132,-6.3488189299999975,64,1052,-1.9242491886019706,0.0953125,-0.017889667634153738,0.0003,0.009370293,1310,0.016473132668761537,-0.1121022179722786,0.2,0.8130139112472534
60.0,68096,133,-6.358703890000002,64,1060,-1.8782278671860695,0.13984375,-0.021273657958954573,0.0003,0.013152566,1320,0.02556805091444403,-0.11955071985721588,0.2,0.6983020007610321
60.0,68608,134,-6.343143520000001,64,1069,-1.8591013193130492,0.1349609375,-0.016160675953142346,0.0003,0.0128207775,1330,0.020694035687483847,-0.12588313221931458,0.2,0.4985277056694031
60.0,69120,135,-6.33352778,64,1078,-1.8056953266263007,0.09296875,-0.01958427707431838,0.0003,0.010032195,1340,0.012398598884465173,-0.11047045141458511,0.2,0.7992164492607117
60.0,69632,136,-6.30253822,64,1086,-1.840326587855816,0.041796875,-0.01494889884488657,0.0003,0.0068619526,1350,0.03923785944934934,-0.11549777537584305,0.2,0.7116025388240814
60.0,70144,137,-6.27842995,64,1094,-1.9326597705483437,0.1142578125,-0.014326450298540294,0.0003,0.009116301,1360,0.02133726328611374,-0.1275082677602768,0.2,0.7303504645824432
60.0,70656,138,-6.27034059,64,1102,-1.8520024389028549,0.078125,-0.012128174176905305,0.0003,0.009350453,1370,0.010034637717762963,-0.09562350809574127,0.2,0.9068540334701538
60.0,71168,139,-6.2614058,64,1109,-1.8588642477989197,0.067578125,-0.009845756064169108,0.0003,0.008288415,1380,0.015120118146296591,-0.13677726686000824,0.2,0.8010580688714981
60.0,71680,140,-6.25928146,64,1117,-1.9265489473938942,0.1462890625,-0.018503539223456756,0.0003,0.012005467,1390,0.02097101763356477,-0.09427037835121155,0.2,0.8268451243638992
60.0,72192,141,-6.245392010000001,64,1125,-1.869153295457363,0.1373046875,-0.022323913115542382,0.0003,0.014153417,1400,0.009575107524869963,-0.10815339535474777,0.2,0.9051679819822311
60.0,72704,142,-6.27787205,64,1133,-1.899851919710636,0.130078125,-0.01490215954836458,0.0003,0.013368605,1410,0.010940012941136956,-0.11380601674318314,0.2,0.8805428668856621
60.0,73216,143,-6.283531059999999,64,1142,-1.8902195051312447,0.0931640625,-0.019790708390064537,0.0003,0.009222671,1420,0.011068057519150899,-0.11196273565292358,0.2,0.8821035623550415
60.0,73728,144,-6.250762880000001,64,1150,-1.8831277519464493,0.111328125,-0.01152802704309579,0.0003,0.012169195,1430,0.014310497289989144,-0.102058045566082,0.2,0.8375881016254425
60.0,74240,145,-6.29354317,64,1158,-1.880526813864708,0.0962890625,-0.01994246497633867,0.0003,0.008341288,1440,0.007372352172387764,-0.12087161093950272,0.2,0.9217656254768372
60.0,74752,146,-6.336543450000001,64,1166,-1.9195972666144372,0.09296875,-0.013105937489308416,0.0003,0.009204457,1450,0.016347325313836335,-0.12269040197134018,0.2,0.8134491890668869
60.0,75264,147,-6.317842260000001,64,1174,-1.9128898814320565,0.1009765625,-0.017195531516335905,0.0003,0.009405417,1460,0.011592832033056766,-0.10651491582393646,0.2,0.8943449333310127
60.0,75776,148,-6.3266918,64,1182,-1.905355703830719,0.041796875,-0.010532579460414127,0.0003,0.0069020027,1470,0.008084898654487915,-0.13197989761829376,0.2,0.9076184257864952
60.0,76288,149,-6.333146289999999,64,1190,-1.8256823226809502,0.1501953125,-0.026091957674361767,0.0003,0.011256134,1480,0.008695641328813508,-0.13193778693675995,0.2,0.8571623712778091
60.0,76800,150,-6.36781456,64,1199,-1.8911948293447494,0.13984375,-0.019678860768908634,0.0003,0.015691064,1490,0.011173029366182164,-0.13482099771499634,0.2,0.8680416345596313
60.0,77312,151,-6.36418053,64,1207,-1.9329947367310525,0.141015625,-0.013254762359429151,0.0003,0.01396957,1500,0.014744373923167586,-0.12661615014076233,0.2,0.865498498082161
60.0,77824,152,-6.3648482699999995,64,1215,-1.9401687324047088,0.097265625,-0.01734935339773074,0.0003,0.012288328,1510,0.022013554500881584,-0.10268905013799667,0.2,0.7886375188827515
60.0,78336,153,-6.333696020000001,64,1222,-1.8662364095449449,0.1486328125,-0.021462813828838988,0.0003,0.012491414,1520,0.01809812444844283,-0.13863879442214966,0.2,0.7777991741895676
60.0,78848,154,-6.297858049999999,64,1230,-1.8227502807974816,0.0794921875,-0.02002190120983869,0.0003,0.009122714,1530,0.009657149692066014,-0.10256986320018768,0.2,0.8732037246227264
60.0,79360,155,-6.28768335,64,1238,-1.7517665922641754,0.144921875,-0.022724018373992294,0.0003,0.01253736,1540,0.00497278633993119,-0.10431263595819473,0.2,0.9202423244714737
60.0,79872,156,-6.3034066,64,1246,-1.7393407106399537,0.0841796875,-0.007229167391778901,0.0003,0.007786481,1550,0.02277392162941396,-0.08794265985488892,0.2,0.6866606175899506
60.0,80384,157,-6.29955099,64,1254,-1.84741580337286,0.141796875,-0.017194037302397193,0.0003,0.011692399,1560,0.012622052786173298,-0.09357590973377228,0.2,0.8323853462934494
60.0,80896,158,-6.325683029999999,64,1263,-1.917614182829857,0.0818359375,-0.014590945967938751,0.0003,0.0076169027,1570,0.04074677230091765,-0.11202295124530792,0.2,0.6790485978126526
60.0,81408,159,-6.32050504,64,1271,-1.9560024201869965,0.090234375,-0.015085009444737807,0.0003,0.00949731,1580,0.0469240398844704,-0.09985668212175369,0.2,0.7443878054618835
60.0,81920,160,-6.3178931,64,1279,-2.0193529456853865,0.185546875,-0.0179832992318552,0.0003,0.013619296,1590,0.012521092843962833,-0.09667336940765381,0.2,0.8287623524665833
60.0,82432,161,-6.314951539999998,64,1287,-2.048367065191269,0.037109375,-0.0104838483792264,0.0003,0.007256472,1600,0.012750003015389666,-0.1303970366716385,0.2,0.8830410167574883
60.0,82944,162,-6.29251412,64,1295,-1.9916718423366546,0.108984375,-0.018436163364094683,0.0003,0.01142681,1610,0.008898435195442289,-0.10020318627357483,0.2,0.9014836996793747
60.0,83456,163,-6.25916844,64,1302,-2.041239209473133,0.1578125,-0.023996726947370917,0.0003,0.0154916365,1620,0.012340405868599191,-0.13793273270130157,0.2,0.775279238820076
60.0,83968,164,-6.278868719999999,64,1310,-1.9716476514935493,0.1001953125,-0.0196452226373367,0.0003,0.011819585,1630,0.013437601446639746,-0.11114971339702606,0.2,0.815846711397171
60.0,84480,165,-6.3168589299999995,64,1319,-1.9541430205106736,0.0892578125,-0.017980571324005722,0.0003,0.008722976,1640,0.029613571503432468,-0.11576034873723984,0.2,0.743399053812027
60.0,84992,166,-6.32992975,64,1327,-1.930781066417694,0.1130859375,-0.019906052039004862,0.0003,0.013274967,1650,0.032740815356373784,-0.11996464431285858,0.2,0.6997050642967224
60.0,85504,167,-6.339484219999999,64,1335,-1.9737165570259094,0.1181640625,-0.01334426032844931,0.0003,0.010941271,1660,0.014060023287311197,-0.1067800521850586,0.2,0.8358815461397171
60.0,86016,168,-6.34343462,64,1343,-2.030308459699154,0.2037109375,-0.025767426926176996,0.0003,0.018839203,1670,0.013891943334601819,-0.13506034016609192,0.2,0.8642054200172424
60.0,86528,169,-6.319113929999999,64,1351,-2.0701800107955934,0.0650390625,-0.01010686696099583,0.0003,0.0084616225,1680,0.025314136524684727,-0.10992862284183502,0.2,0.7310671806335449
60.0,87040,170,-6.32995804,64,1359,-2.067849096655846,0.0951171875,-0.01316883783438243,0.0003,0.013546296,1690,0.016182253940496594,-0.08423055708408356,0.2,0.844350278377533
60.0,87552,171,-6.350316890000001,64,1367,-2.1126055240631105,0.0802734375,-0.010957965592388064,0.0003,0.01162695,1700,0.06103545383084565,-0.05466679856181145,0.2,0.5815122127532959
60.0,88064,172,-6.361927720000001,64,1375,-2.0977772265672683,0.094140625,-0.010067689395509661,0.0003,0.012456232,1710,0.014329232578165828,-0.09864675998687744,0.2,0.8695496320724487
60.0,88576,173,-6.406681770000001,64,1383,-2.128936541080475,0.1615234375,-0.02482344377785921,0.0003,0.015687563,1720,0.01313637305283919,-0.14082098007202148,0.2,0.8909057378768921
60.0,89088,174,-6.435285999999999,64,1391,-2.1547349780797957,0.1767578125,-0.021459862217307092,0.0003,0.015971988,1730,0.055296226590871814,-0.12054964900016785,0.2,0.7532574534416199
60.0,89600,175,-6.457197170000001,64,1399,-2.1545670479536057,0.1478515625,-0.02336692051612772,0.0003,0.012481412,1740,0.009849626311915927,-0.13706868886947632,0.2,0.9133160039782524
60.0,90112,176,-6.455229509999999,64,1407,-2.110334175825119,0.1095703125,-0.02037014968227595,0.0003,0.011686377,1750,0.020139030157588424,-0.10714485496282578,0.2,0.8433639705181122
60.0,90624,177,-6.45610612,64,1415,-2.09118911921978,0.15078125,-0.022079691803082824,0.0003,0.015022624,1760,0.01538385499152355,-0.1561589241027832,0.2,0.8331491053104401
60.0,91136,178,-6.44170717,64,1423,-2.099668172001839,0.14375,-0.023577351809944958,0.0003,0.018865656,1770,0.007445108646061271,-0.148501917719841,0.2,0.880111426115036
60.0,91648,179,-6.424619970000001,64,1431,-2.055850422382355,0.1662109375,-0.03143806253792718,0.0003,0.012651138,1780,0.004829630038875621,-0.12416742742061615,0.2,0.9434467107057571
60.0,92160,180,-6.450088640000001,63,1440,-2.038800962269306,0.0693359375,-0.0139421781495912,0.0003,0.009807376,1790,0.007749403739580885,-0.12295957654714584,0.2,0.8755138069391251
60.0,92672,181,-6.4469452500000015,63,1448,-2.0065779864788054,0.084765625,-0.02217443430563435,0.0003,0.012404755,1800,0.1010834336746484,-0.08330024778842926,0.2,0.5532388091087341
60.0,93184,182,-6.44176053,63,1456,-2.045938292145729,0.125390625,-0.018799769168253988,0.0003,0.010448801,1810,0.0148478664457798,-0.08294157683849335,0.2,0.8957236930727959
60.0,93696,183,-6.437614830000001,63,1464,-2.018934930860996,0.0947265625,-0.01620164472842589,0.0003,0.009858031,1820,0.04143149126321077,-0.11485476791858673,0.2,0.7217659950256348
60.0,94208,184,-6.44023421,64,1471,-1.9759229511022567,0.1779296875,-0.0254912638978567,0.0003,0.011887664,1830,0.007187456195242703,-0.13558940589427948,0.2,0.8537961542606354
60.0,94720,185,-6.409094999999999,64,1479,-2.0323849812150003,0.133984375,-0.020960091179586016,0.0003,0.010680699,1840,0.04484009909210727,-0.10214658081531525,0.2,0.6142269670963287
60.0,95232,186,-6.392847870000001,64,1487,-2.0356021136045457,0.0896484375,-0.016906656365608796,0.0003,0.00882482,1850,0.013745650125201792,-0.13867796957492828,0.2,0.787534773349762
60.0,95744,187,-6.379351479999998,64,1495,-2.052052918076515,0.0931640625,-0.017286116525065155,0.0003,0.013649206,1860,0.009684574668062851,-0.13558433949947357,0.2,0.8982121348381042
60.0,96256,188,-6.34941809,63,1504,-2.0409745246171953,0.087890625,-0.0168583610560745,0.0003,0.010301314,1870,0.0058266378211556,-0.13161306083202362,0.2,0.9296917170286179
60.0,96768,189,-6.361268010000001,63,1512,-2.0081672191619875,0.0724609375,-0.017224922496825456,0.0003,0.011724023,1880,0.008163453760789707,-0.12786613404750824,0.2,0.9102404713630676
60.0,97280,190,-6.355997490000001,63,1520,-1.9947641968727112,0.1072265625,-0.019819232146255673,0.0003,0.012234039,1890,0.009205207461491227,-0.13281969726085663,0.2,0.8567491918802261
60.0,97792,191,-6.39386071,63,1528,-1.9544057086110116,0.1349609375,-0.01602753521874547,0.0003,0.012176335,1900,0.007828397781122477,-0.1099187508225441,0.2,0.8877224326133728
60.0,98304,192,-6.360551300000001,63,1536,-1.939500066637993,0.1109375,-0.018865319900214672,0.0003,0.013444013,1910,0.020076048432383687,-0.1201591044664383,0.2,0.777694895863533
60.0,98816,193,-6.368808820000001,64,1543,-1.9619276612997054,0.1740234375,-0.015123045328073204,0.0003,0.013865319,1920,0.02219132804311812,-0.11459437012672424,0.2,0.8077414482831955
60.0,99328,194,-6.335375719999999,64,1551,-1.9968988999724389,0.1375,-0.020522830460686238,0.0003,0.01382911,1930,0.02320811457466334,-0.08347366750240326,0.2,0.7633190155029297
