time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance
20,10240,140,-6.620275970000002,60.0,72,-2.054819944500923,0.027467886003432796,0.009680808,0.0003,0.1037109375,190,-0.01060366163146682,0.2,-0.03350403904914856,0.8077958077192307
21,10752,148,-6.572373070000001,60.0,72,-1.9794391855597495,0.012730537250172346,0.011805438,0.0003,0.18671875,200,-0.016750446509104223,0.2,-0.04752838984131813,0.8250654488801956
22,11264,155,-6.523179800000001,60.0,72,-1.9855256885290147,0.01016558408155106,0.012112904,0.0003,0.112109375,210,-0.016088739957194776,0.2,-0.03095964901149273,0.8777452558279037
23,11776,163,-6.447518310000001,60.0,71,-1.9018010199069977,0.011644978198455646,0.010228316,0.0003,0.0830078125,220,-0.010371040570316837,0.2,-0.02409428358078003,0.8419082909822464
24,12288,170,-6.3838510699999995,60.0,71,-1.913821093738079,0.01606164629338309,0.010843167,0.0003,0.0974609375,230,-0.01062978130648844,0.2,-0.009391497820615768,0.8363208025693893
25,12800,177,-6.35578417,60.0,72,-1.8413193553686142,0.018761880113743246,0.010995005,0.0003,0.083203125,240,-0.012148921511834488,0.2,-0.009344288147985935,0.7642727792263031
26,13312,185,-6.315269359999999,60.0,71,-1.7970189407467843,0.0212424848228693,0.012354313,0.0003,0.0861328125,250,-0.01187646550242789,0.2,-0.0264083594083786,0.7468489110469818
27,13824,192,-6.333416089999999,60.0,71,-1.7762397214770318,0.03298990509938449,0.018202538,0.0003,0.164453125,260,-0.01883936596568674,0.2,-0.01409923005849123,0.6584999561309814
28,14336,199,-6.314103959999999,60.0,71,-1.7952427089214325,0.03847704555373639,0.007864106,0.0003,0.1009765625,270,-0.009708987071644515,0.2,0.01354621909558773,0.6042404472827911
29,14848,207,-6.33359484,60.0,71,-1.8516975060105323,0.012453051842749118,0.015289209,0.0003,0.153515625,280,-0.016187942208489403,0.2,-0.04854665324091911,0.8515191972255707
30,15360,215,-6.336791850000001,60.0,71,-1.8565765663981437,0.033985777001362294,0.008158622,0.0003,0.0796875,290,-0.011500359675846995,0.2,-0.04502559453248978,0.6212605535984039
31,15872,222,-6.349021400000001,60.0,71,-1.8748409628868103,0.06281016583088786,0.010802275,0.0003,0.109765625,300,-0.01653151117498055,0.2,-0.016425669193267822,0.6649249196052551
32,16384,229,-6.421664409999998,60.0,71,-1.879274171590805,0.06314062844030559,0.015666317,0.0003,0.0876953125,310,-0.011749695008620619,0.2,-0.017063476145267487,0.6155752837657928
33,16896,236,-6.407920669999998,60.0,71,-1.8515868857502937,0.035527245211414996,0.01016599,0.0003,0.0853515625,320,-0.011123967118328438,0.2,0.00419074110686779,0.8197755515575409
